Time [s],Value,Parity Error,Framing Error
1.440865075,0x112,,
1.442016850,0x012,,
1.447938825,0x000,,
1.676363525,0x112,,
1.677519675,0x012,,
1.811910725,0x110,,
1.813062225,0x010,,
2.044248950,0x111,,
2.045419850,0x000,,
2.046577250,0x003,,
2.047734125,0x010,,
2.048891025,0x002,,
2.050047800,0x001,,
2.051216575,0x027,,
2.099012700,0x112,,
2.100164450,0x012,,
2.106060025,0x000,,
2.155035800,0x112,,
2.156192575,0x012,,
2.170103325,0x000,,
2.212958400,0x111,,
2.214122525,0x001,,
2.215291925,0x042,,
2.216448950,0x040,,
2.217606350,0x000,,
2.218763850,0x000,,
2.219920625,0x094,,
2.256858225,0x114,,
2.258009725,0x001,,
2.259167125,0x015,,
2.489363525,0x112,,
2.490514775,0x012,,
2.506729825,0x000,,
2.738401450,0x112,,
2.739557950,0x012,,
2.954546950,0x112,,
2.955698450,0x012,,
3.193445750,0x112,,
3.194597250,0x012,,
3.423573075,0x112,,
3.424724600,0x012,,
3.656644375,0x112,,
3.657796125,0x012,,
3.879554300,0x112,,
3.880706200,0x012,,
4.099639725,0x112,,
4.100791625,0x012,,
4.328805000,0x112,,
4.329956900,0x012,,
4.567743325,0x112,,
4.568894600,0x012,,
4.783760650,0x112,,
4.784912175,0x012,,
5.014795150,0x112,,
5.015946800,0x012,,
5.231910875,0x112,,
5.233074900,0x012,,
5.451886225,0x112,,
5.453037500,0x012,,
5.685082225,0x112,,
5.686234100,0x012,,
5.904876125,0x112,,
5.906027900,0x012,,
6.129052775,0x112,,
6.130212300,0x012,,
6.359042800,0x112,,
6.360194575,0x012,,
6.594715675,0x113,,
6.595867450,0x000,,
6.597024450,0x027,,
6.598181350,0x010,,
6.599338750,0x0FF,,
6.600498775,0x0FF,,
6.601652775,0x048,,
6.844066950,0x112,,
6.845218725,0x012,,
7.076150875,0x112,,
7.077309400,0x012,,
7.294137275,0x112,,
7.295289175,0x012,,
7.533244700,0x112,,
7.534403975,0x012,,
7.779277775,0x112,,
7.780455050,0x012,,
8.000416700,0x112,,
8.001568575,0x012,,
8.229393425,0x112,,
8.230545175,0x012,,
8.482495200,0x112,,
8.483646950,0x012,,
8.697412550,0x112,,
8.698564075,0x012,,
8.937501050,0x112,,
8.938652950,0x012,,
9.166476025,0x112,,
9.167627675,0x012,,
9.397910875,0x112,,
9.399062125,0x012,,
9.631744775,0x112,,
9.632896550,0x012,,
9.852585075,0x112,,
9.853736475,0x012,,
10.068594075,0x112,,
10.069745950,0x012,,
10.302785275,0x112,,
10.303936650,0x012,,
10.524926925,0x112,,
10.526087450,0x012,,
10.755840200,0x112,,
10.756992850,0x012,,
10.997775700,0x112,,
10.998927225,0x012,,
11.223774975,0x112,,
11.224926250,0x012,,
11.465798900,0x112,,
11.466957525,0x012,,
11.692007075,0x112,,
11.693158450,0x012,,
11.912768900,0x112,,
11.913920400,0x012,,
12.150088700,0x112,,
12.151240450,0x012,,
12.378103250,0x112,,
12.379254775,0x012,,
12.597128800,0x112,,
12.598280075,0x012,,
12.835052725,0x112,,
12.836204375,0x012,,
13.065153650,0x112,,
13.066299675,0x012,,
13.284271950,0x112,,
13.285423225,0x012,,
13.525146750,0x112,,
13.526298025,0x012,,
13.753231875,0x112,,
13.754383125,0x012,,
14.009962825,0x112,,
14.011114350,0x012,,
14.234477625,0x112,,
14.235629400,0x012,,
14.457424675,0x112,,
14.458576200,0x012,,
14.709708000,0x112,,
14.710858400,0x012,,
14.937487250,0x112,,
14.938638900,0x012,,
15.157682200,0x112,,
15.158833450,0x012,,
15.397468875,0x112,,
15.398620400,0x012,,
15.622776275,0x112,,
15.623927550,0x012,,
15.845671950,0x112,,
15.846820975,0x012,,
16.079642150,0x112,,
16.080805925,0x012,,
16.309821125,0x112,,
16.310970000,0x012,,
16.528898700,0x112,,
16.530050200,0x012,,
16.767785075,0x112,,
16.768941350,0x012,,
16.997041525,0x112,,
16.998193150,0x012,,
17.237839050,0x112,,
17.238997950,0x012,,
17.465931300,0x112,,
17.467083075,0x012,,
17.717035975,0x112,,
17.718187750,0x012,,
17.947961625,0x112,,
17.949113150,0x012,,
18.170188000,0x112,,
18.171339375,0x012,,
18.385294025,0x112,,
18.386441275,0x012,,
18.624849150,0x112,,
18.626000650,0x012,,
18.860107100,0x112,,
18.861258750,0x012,,
19.108138850,0x112,,
19.109297625,0x012,,
19.338180425,0x112,,
19.339332200,0x012,,
19.554443400,0x112,,
19.555605425,0x012,,
19.775329825,0x112,,
19.776493850,0x012,,
20.012290400,0x112,,
20.013442050,0x012,,
20.242808800,0x112,,
20.243960300,0x012,,
20.480322025,0x112,,
20.481476400,0x012,,
20.710449775,0x112,,
20.711600650,0x012,,
20.928519525,0x112,,
20.929671025,0x012,,
21.168408150,0x112,,
21.169565525,0x012,,
21.175795300,0x000,,
21.398580800,0x112,,
21.399744700,0x012,,
21.616605750,0x112,,
21.617770150,0x012,,
21.853588050,0x112,,
21.854739825,0x012,,
22.082640775,0x112,,
22.083799425,0x012,,
22.300620250,0x112,,
22.301772000,0x012,,
22.536847925,0x112,,
22.537999700,0x012,,
22.753785900,0x112,,
22.754937675,0x012,,
22.977266850,0x112,,
22.978418725,0x012,,
23.206815025,0x112,,
23.207958675,0x012,,
23.426069675,0x112,,
23.427221450,0x012,,
23.586810000,0x113,,
23.587961875,0x000,,
23.589118900,0x027,,
23.590276050,0x010,,
23.591445700,0x0FF,,
23.592608600,0x0FF,,
23.593764250,0x048,,
23.820994150,0x112,,
23.822159175,0x012,,
24.048000625,0x112,,
24.049151875,0x012,,
24.267092975,0x112,,
24.268244225,0x012,,
24.506101575,0x112,,
24.507265100,0x012,,
24.737113425,0x112,,
24.738265325,0x012,,
24.953220025,0x112,,
24.954371300,0x012,,
25.191188675,0x112,,
25.192340575,0x012,,
25.412168150,0x112,,
25.413319900,0x012,,
25.643269600,0x112,,
25.644421350,0x012,,
25.874820525,0x112,,
25.875979175,0x012,,
26.099224950,0x112,,
26.100388475,0x012,,
26.326333000,0x112,,
26.327495250,0x012,,
26.546363150,0x112,,
26.547514925,0x012,,
26.762344750,0x112,,
26.763501625,0x012,,
27.001427575,0x112,,
27.002591600,0x012,,
27.230694950,0x112,,
27.231835450,0x012,,
27.451634525,0x112,,
27.452798550,0x012,,
27.691476600,0x112,,
27.692628500,0x012,,
27.917661475,0x112,,
27.918822000,0x012,,
28.135570900,0x112,,
28.136739675,0x012,,
28.374737000,0x112,,
28.375888275,0x012,,
28.603654500,0x112,,
28.604813400,0x012,,
28.822824475,0x112,,
28.823976375,0x012,,
29.061795500,0x112,,
29.062947275,0x012,,
29.291894525,0x112,,
29.293048675,0x012,,
29.529019525,0x112,,
29.530163400,0x012,,
29.760032700,0x112,,
29.761183975,0x012,,
29.979085000,0x112,,
29.980236750,0x012,,
30.218036750,0x112,,
30.219188250,0x012,,
30.446065700,0x112,,
30.447217475,0x012,,
30.664100475,0x112,,
30.665264000,0x012,,
30.902082325,0x112,,
30.903234075,0x012,,
31.132183575,0x112,,
31.133334825,0x012,,
31.350214900,0x112,,
31.351378925,0x012,,
31.588177875,0x112,,
31.589329125,0x012,,
31.595662350,0x000,,
31.819456500,0x112,,
31.820613025,0x012,,
32.040441775,0x112,,
32.041593675,0x012,,
32.276369425,0x112,,
