Time[s], 通道 0, 通道 1
0.0000000, 0, 1
2.4894455, 0, 0
2.4894968, 0, 1
2.4895146, 0, 0
2.4895921, 0, 1
2.4896012, 0, 0
2.4896788, 0, 1
2.4896879, 0, 0
2.4897655, 0, 1
2.4897746, 0, 0
2.4898954, 0, 1
2.4899046, 0, 0
2.4899387, 0, 1
2.4899479, 0, 0
2.4900255, 0, 1
2.4900346, 0, 0
2.4900949, 0, 1
2.4901213, 0, 0
2.4902421, 0, 1
2.4902513, 0, 0
2.4902769, 0, 1
2.4902947, 0, 0
2.4903635, 0, 1
2.4903814, 0, 0
2.4904589, 0, 1
2.4904680, 0, 0
2.4905369, 0, 1
2.4905547, 0, 0
2.4906235, 0, 1
2.4906414, 0, 0
2.4906928, 0, 1
2.4907020, 0, 0
2.4908489, 0, 1
2.4908580, 0, 0
2.4908922, 0, 1
2.4909014, 0, 0
2.4909790, 0, 1
2.4909881, 0, 0
2.4910483, 0, 1
2.4910748, 0, 0
2.4912043, 0, 1
2.4912221, 0, 0
2.4912389, 0, 1
2.4912481, 0, 0
2.4913257, 0, 1
2.4913348, 0, 0
2.4913863, 0, 1
2.4913955, 0, 0
2.4914122, 0, 1
2.4914215, 0, 0
2.4914990, 0, 1
2.4915081, 0, 0
2.4916463, 0, 1
2.4916729, 0, 0
2.4918371, 0, 1
2.4918549, 0, 0
2.4918890, 0, 1
2.4919156, 0, 0
2.4919323, 0, 1
2.4919415, 0, 0
2.4920104, 0, 1
2.4920283, 0, 0
2.4920971, 0, 1
2.4921149, 0, 0
2.4921491, 0, 1
2.4921582, 0, 0
2.4921924, 0, 1
2.4922016, 0, 0
2.4922530, 0, 1
2.4922622, 0, 0
2.4924091, 0, 1
2.4924183, 0, 0
2.4924524, 0, 1
2.4924616, 0, 0
2.4925392, 0, 1
2.4925483, 0, 0
2.4926085, 0, 1
2.4926350, 0, 0
2.4927991, 0, 1
2.4928083, 0, 0
2.4928512, 0, 1
2.4928691, 0, 0
2.4928858, 0, 1
2.4928950, 0, 0
2.4929726, 0, 1
2.4929817, 0, 0
2.4930593, 0, 1
2.4930684, 0, 0
2.4931286, 0, 1
2.4931551, 0, 0
2.4932932, 0, 1
2.4933198, 0, 0
2.4934840, 0, 1
2.4934931, 0, 0
2.4935620, 0, 1
2.4935885, 0, 0
2.4936313, 0, 1
2.4936404, 0, 0
2.4936572, 0, 1
2.4936664, 0, 0
2.4937439, 0, 1
2.4937531, 0, 0
2.4938133, 0, 1
2.4938225, 0, 0
2.4939781, 0, 1
2.4939872, 0, 0
2.4940040, 0, 1
2.4940132, 0, 0
2.4940821, 0, 1
2.4940999, 0, 0
2.4942293, 0, 1
2.4942472, 0, 0
2.4942640, 0, 1
2.4942732, 0, 0
2.4943248, 0, 1
2.4943339, 0, 0
2.4943595, 0, 1
2.4943685, 0, 0
2.4945328, 0, 1
2.4945419, 0, 0
2.4946107, 0, 1
2.4946199, 0, 0
2.4947842, 0, 1
2.4947933, 0, 0
2.4948622, 0, 1
2.4948800, 0, 0
2.4950094, 0, 1
2.4950186, 0, 0
2.4950528, 0, 1
2.4950620, 0, 0
2.4951049, 0, 1
2.4951140, 0, 0
2.4951396, 0, 1
2.4951487, 0, 0
2.4953129, 0, 1
2.4953220, 0, 0
2.4953909, 0, 1
2.4954000, 0, 0
2.4955642, 0, 1
2.4955734, 0, 0
2.4956509, 0, 1
2.4956601, 0, 0
2.4957895, 0, 1
