Time [s],Value,Parity Error,Framing Error
0.174363900,0x112,,
0.175509800,0x012,,
0.379377300,0x112,,
0.380523200,0x012,,
0.584390700,0x112,,
0.585536600,0x012,,
0.789404100,0x108,,
0.790550000,0x008,,
0.814405700,0x112,,
0.815551600,0x012,,
0.999417800,0x112,,
1.000563700,0x012,,
1.204431200,0x112,,
1.205577100,0x012,,
1.409444600,0x112,,
1.410590500,0x012,,
1.614458000,0x112,,
1.615604000,0x012,,
1.819471500,0x130,,
1.820617400,0x030,,
1.844473100,0x112,,
1.845619000,0x012,,
2.029485200,0x112,,
2.030631100,0x012,,
2.234498600,0x112,,
2.235644500,0x012,,
2.439512000,0x112,,
2.440657900,0x012,,
2.644525400,0x112,,
2.645671300,0x012,,
2.849538800,0x112,,
2.850684700,0x012,,
3.054552200,0x112,,
3.055698100,0x012,,
3.259565600,0x112,,
3.260711500,0x012,,
3.364572500,0x108,,
3.365718400,0x008,,
3.469579400,0x112,,
3.470725300,0x012,,
14.729503200,0x108,,
14.730649100,0x008,,
15.134529700,0x110,,
15.135675600,0x010,,
15.239536500,0x112,,
15.240682400,0x012,,
15.246828700,0x000,,
15.344543400,0x111,,
15.345689300,0x000,,
15.346835200,0x003,,
15.347981100,0x000,,
15.349127000,0x000,,
15.350272900,0x000,,
15.351418800,0x014,,
15.454550600,0x112,,
15.455696500,0x012,,
15.469864100,0x000,,
15.569558100,0x111,,
15.570704000,0x001,,
15.571849900,0x0FF,,
15.572995800,0x0FF,,
15.574141700,0x000,,
15.575287700,0x000,,
15.576433600,0x010,,
15.679565300,0x130,,
15.680711200,0x030,,
15.704566900,0x117,,
15.705712900,0x000,,
15.706858800,0x04B,,
15.708004700,0x049,,
15.709150600,0x04D,,
15.710296500,0x030,,
15.711442400,0x030,,
15.712588300,0x030,,
15.713734200,0x030,,
15.714880100,0x030,,
15.716026000,0x030,,
15.717171900,0x030,,
15.718317800,0x030,,
15.719567900,0x030,,
15.720713800,0x030,,
15.721859700,0x030,,
15.723005700,0x030,,
15.724151600,0x030,,
15.725297500,0x030,,
15.726443400,0x030,,
15.727589300,0x030,,
15.728735200,0x030,,
15.729881100,0x030,,
15.731027000,0x030,,
15.732172900,0x030,,
15.733318800,0x030,,
15.734568900,0x030,,
15.735714800,0x030,,
15.736860700,0x030,,
15.738006600,0x000,,
15.739152500,0x000,,
15.740298400,0x078,,
15.784572200,0x112,,
15.785718100,0x012,,
15.829679300,0x000,,
15.889579000,0x117,,
15.890725000,0x004,,
15.891870900,0x000,,
15.893016800,0x000,,
15.894162700,0x000,,
15.895308600,0x003,,
15.896454500,0x01E,,
15.999586200,0x111,,
16.000732200,0x001,,
16.001878100,0x0FF,,
16.003024000,0x0FF,,
16.004169900,0x0FF,,
16.005315800,0x0FF,,
16.006461700,0x000,,
16.007607600,0x000,,
16.008753500,0x000,,
16.009899400,0x000,,
16.011045300,0x019,,
16.012191200,0x078,,
16.013337100,0x09F,,
16.114593800,0x112,,
16.115739700,0x012,,
16.219600600,0x114,,
16.220746500,0x001,,
16.221892500,0x015,,
16.324607500,0x112,,
16.325753400,0x012,,
16.529620900,0x112,,
16.530766800,0x012,,
16.734634300,0x112,,
16.735780200,0x012,,
16.939647700,0x112,,
16.940793700,0x012,,
17.144661200,0x112,,
17.145807100,0x012,,
17.249668000,0x108,,
17.250813900,0x008,,
17.354674900,0x112,,
17.355820800,0x012,,
17.559688300,0x112,,
17.560834200,0x012,,
17.764701700,0x112,,
17.765847600,0x012,,
17.969715100,0x112,,
17.970861000,0x012,,
18.174728500,0x112,,
18.175874500,0x012,,
18.279735400,0x130,,
18.280881300,0x030,,
18.384742300,0x112,,
18.385888200,0x012,,
18.589755700,0x112,,
18.590901600,0x012,,
18.794769100,0x112,,
18.795915000,0x012,,
18.917752500,0x1FF,,
18.999782500,0x112,,
19.000928400,0x012,,
19.204795900,0x112,,
19.205941800,0x012,,
19.409809300,0x112,,
19.410955300,0x012,,
19.614926900,0x112,,
19.616072800,0x012,,
19.819940300,0x108,,
19.821086300,0x008,,
19.844942000,0x112,,
19.846087900,0x012,,
20.029954100,0x112,,
20.031100000,0x012,,
20.234967500,0x112,,
20.236113400,0x012,,
20.439980900,0x112,,
20.441126800,0x012,,
20.644994300,0x112,,
20.646140200,0x012,,
20.850007700,0x130,,
20.851153600,0x030,,
20.875009400,0x112,,
20.876155300,0x012,,
21.060021500,0x112,,
21.061167400,0x012,,
21.265034900,0x112,,
21.266180800,0x012,,
21.470048300,0x112,,
21.471194200,0x012,,
21.675061700,0x112,,
21.676207600,0x012,,
21.880075100,0x112,,
21.881221000,0x012,,
22.085088500,0x112,,
22.086234500,0x012,,
22.290102000,0x112,,
22.291247900,0x012,,
22.395108800,0x108,,
22.396254700,0x008,,
22.500115700,0x112,,
22.501261600,0x012,,
22.705129100,0x112,,
22.706275000,0x012,,
22.910142500,0x112,,
22.911288400,0x012,,
23.115155900,0x112,,
23.116301900,0x012,,
23.320169400,0x112,,
23.321315300,0x012,,
23.425176200,0x130,,
23.426322100,0x030,,
23.530183100,0x112,,
23.531329000,0x012,,
23.735196500,0x112,,
23.736342400,0x012,,
23.940209900,0x112,,
23.941355800,0x012,,
24.145223300,0x112,,
24.146369300,0x012,,
24.350236800,0x112,,
24.351382700,0x012,,
24.555250200,0x112,,
24.556396100,0x012,,
24.760263600,0x112,,
24.761409500,0x012,,
24.965381200,0x108,,
24.966527100,0x008,,
24.990278600,0x112,,
24.991424600,0x012,,
25.175290700,0x112,,
25.176436700,0x012,,
25.380408300,0x112,,
25.381554200,0x012,,
25.585421800,0x112,,
25.586567700,0x012,,
25.790435200,0x112,,
25.791581100,0x012,,
25.995448600,0x130,,
25.996594500,0x030,,
26.020450200,0x112,,
26.021596100,0x012,,
26.205462300,0x112,,
26.206608200,0x012,,
26.410475700,0x112,,
26.411621600,0x012,,
26.615489200,0x112,,
26.616635100,0x012,,
26.820502600,0x112,,
26.821648500,0x012,,
27.025516000,0x112,,
27.026661900,0x012,,
27.230529400,0x112,,
27.231675300,0x012,,
27.435542800,0x112,,
27.436688700,0x012,,
27.540549700,0x108,,
27.541695600,0x008,,
27.645556600,0x112,,
27.646702500,0x012,,
27.850570000,0x112,,
27.851715900,0x012,,
28.055583400,0x112,,
28.056729300,0x012,,
28.260596800,0x112,,
28.261742700,0x012,,
28.465610200,0x112,,
28.466756100,0x012,,
28.570617100,0x130,,
28.571763000,0x030,,
28.675624000,0x112,,
28.676769900,0x012,,
28.880637400,0x112,,
28.881783300,0x012,,
29.085650800,0x112,,
29.086796700,0x012,,
29.290664200,0x112,,
29.291810100,0x012,,
29.495677600,0x112,,
29.496823500,0x012,,
29.700691000,0x112,,
29.701836900,0x012,,
29.905704400,0x112,,
29.906850400,0x012,,
30.110717900,0x108,,
30.111863800,0x008,,
30.135719500,0x112,,
30.136865400,0x012,,
30.320731600,0x112,,
30.321877500,0x012,,
30.525745000,0x112,,
30.526890900,0x012,,
30.730758400,0x112,,
30.731904300,0x012,,
30.935771900,0x112,,
30.936917800,0x012,,
31.140889400,0x130,,
31.142035300,0x030,,
31.165786900,0x112,,
31.166932800,0x012,,
31.350903200,0x112,,
31.352049100,0x012,,
31.555916600,0x112,,
31.557062500,0x012,,
31.760930000,0x112,,
31.762075900,0x012,,
31.965943400,0x112,,
31.967089300,0x012,,
32.170956800,0x112,,
32.172102800,0x012,,
32.375970300,0x112,,
32.377116200,0x012,,
32.580983700,0x112,,
32.582129600,0x012,,
32.685990500,0x108,,
32.687136500,0x008,,
32.790997400,0x112,,
32.792143300,0x012,,
32.996010800,0x112,,
32.997156700,0x012,,
33.201024200,0x112,,
33.202170200,0x012,,
33.406037700,0x112,,
33.407183600,0x012,,
33.611051100,0x112,,
33.612197000,0x012,,
33.716057900,0x130,,
33.717203900,0x030,,
33.821064800,0x112,,
33.822210700,0x012,,
34.026078200,0x112,,
34.027224100,0x012,,
34.231091600,0x112,,
34.232237600,0x012,,
34.436105100,0x112,,
34.437251000,0x012,,
34.461731700,0x000,,
34.541111900,0x112,,
34.542257800,0x012,,
34.746125300,0x112,,
34.747271300,0x012,,
34.951138800,0x112,,
34.952284700,0x012,,
35.156152200,0x112,,
35.157298100,0x012,,
35.261159100,0x108,,
35.262305000,0x008,,
35.366165900,0x112,,
35.367311800,0x012,,
35.571179300,0x112,,
35.572325200,0x012,,
35.776192800,0x112,,
35.777338700,0x012,,
35.981206200,0x112,,
35.982352100,0x012,,
36.186219600,0x112,,
36.187365500,0x012,,
36.291226500,0x130,,
36.292372400,0x030,,
36.396233300,0x112,,
36.397379200,0x012,,
36.601246700,0x112,,
36.602392700,0x012,,
36.806260200,0x112,,
36.807406100,0x012,,
37.011377800,0x112,,
37.012523700,0x012,,
37.216391200,0x112,,
37.217537100,0x012,,
37.421404600,0x112,,
37.422550500,0x012,,
37.429842600,0x000,,
37.526411500,0x112,,
37.527557400,0x012,,
37.731424900,0x112,,
37.732570800,0x012,,
37.836431700,0x108,,
37.837577700,0x008,,
37.941438600,0x112,,
37.942584500,0x012,,
38.146452000,0x112,,
38.147597900,0x012,,
38.351465400,0x112,,
38.352611400,0x012,,
38.556478900,0x112,,
38.557624800,0x012,,
38.761492300,0x112,,
38.762638200,0x012,,
38.866499200,0x130,,
38.867645100,0x030,,
38.971506000,0x112,,
38.972651900,0x012,,
