Time,Label,Data,ReplyTime(ms)
0.115079600,RX,30* 30,
0.140081200,RX,12* 12,
0.145007300,TX,00*,2.680200
0.325093300,RX,12* 12,
0.330017000,TX,00*,2.677800
0.530106600,RX,12* 12,
0.535030000,TX,00*,2.677500
0.735119900,RX,12* 12,
0.740049500,TX,00*,2.683700
0.940133300,RX,12* 12,
0.945062500,TX,00*,2.683300
1.145146600,RX,12* 12,
1.150075400,TX,00*,2.682900
1.350160000,RX,12* 12,
1.355101400,TX,00*,2.695500
1.555173300,RX,12* 12,
1.560107900,TX,00*,2.688700
1.660180100,RX,08* 08,
1.765187000,RX,12* 12,
1.770113600,TX,00*,2.680700
1.970200300,RX,12* 12,
1.975094100,TX,00*,2.647900
2.175213600,RX,12* 12,
2.180139600,TX,00*,2.680100
2.380227000,RX,12* 12,
2.385178600,TX,00*,2.705700
2.585240300,RX,12* 12,
2.590230600,TX,00*,2.744400
2.690351300,RX,30* 30,
2.795254000,RX,12* 12,
2.800177800,TX,00*,2.677900
14.106461800,RX,08* 08,
14.511488200,RX,10* 10,
14.516420700,TX,00*,2.686600
14.616495000,RX,12* 12,
14.621391000,TX,00 00*,2.650100
14.623787100,RX,00,
14.721501800,RX,11* 00 03 00 00 00 14,
14.732179700,TX,00*,2.702400
14.831509000,RX,12* 12,
14.836441400,TX,01 03 19 78 01 02 5a 0d ff*,2.686500
14.846822500,RX,00,
14.946516500,RX,11* 01 ff ff 00 00 10,
14.957202500,TX,00*,2.710600
15.056523600,RX,30* 30,
15.081525300,RX,17* 00 4b 49 4d 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 00 00 78,
15.121578300,TX,00*,3.221500
15.161530500,RX,12* 12,
15.166460600,TX,09 43 43 56 30 31 37 37 38 35 35 30 00 00 00 00 49 4d 33 30 00 00 00 00 00 00 00 00 23 08 00 00 00 27 d1*,2.684200
15.206637600,RX,00,
15.266537300,RX,17* 04 00 00 00 03 1e,
15.277424800,TX,00*,2.912000
15.376544500,RX,11* 01 ff ff ff ff 00 00 00 00 19 78 9f,
15.394083800,TX,00*,2.688400
15.491552000,RX,12* 12,
15.496479800,TX,00*,2.681900
15.596558800,RX,14* 01 15,
15.602633300,TX,00*,2.682700
15.701565600,RX,12* 12,
15.706505000,TX,00*,2.693500
15.906579000,RX,12* 12,
15.911511500,TX,00*,2.686600
16.111592300,RX,12* 12,
16.116570000,TX,00*,2.731800
16.316605700,RX,12* 12,
16.321537500,TX,00*,2.685900
16.521619000,RX,12* 12,
16.526544000,TX,00*,2.679100
16.626625900,RX,08* 08,
16.731632700,RX,12* 12,
16.736556200,TX,00*,2.677600
16.936646000,RX,12* 12,
16.941595200,TX,00*,2.703300
17.141659400,RX,12* 12,
17.146582200,TX,00*,2.676900
17.346672700,RX,12* 12,
17.351595200,TX,00*,2.676600
17.551686100,RX,12* 12,
