Time,Label,Data,ReplyTime(ms)
0.174363900,RX,12* 12,
0.179288100,TX,00*,2.678300
0.379377300,RX,12* 12,
0.384307700,TX,00*,2.684500
0.584390700,RX,12* 12,
0.589314300,TX,00*,2.677700
0.789404100,RX,08* 08,
0.814405700,RX,12* 12,
0.819355900,TX,00*,2.704300
0.999417800,RX,12* 12,
1.004346200,TX,00*,2.682500
1.204431200,RX,12* 12,
1.209359200,TX,00*,2.682100
1.409444600,RX,12* 12,
1.414372400,TX,00*,2.681900
1.614458000,RX,12* 12,
1.619392000,TX,00*,2.688000
1.819471500,RX,30* 30,
1.844473100,RX,12* 12,
1.849388100,TX,00*,2.669100
2.029485200,RX,12* 12,
2.034410900,TX,00*,2.679800
2.234498600,RX,12* 12,
2.239423900,TX,00*,2.679400
2.439512000,RX,12* 12,
2.444437000,TX,00*,2.679100
2.644525400,RX,12* 12,
2.649781700,TX,00*,3.010400
2.849538800,RX,12* 12,
2.854599700,TX,00*,2.815000
3.054552200,RX,12* 12,
3.059476300,TX,00*,2.678200
3.259565600,RX,12* 12,
3.264495900,TX,00*,2.684400
3.364572500,RX,08* 08,
3.469579400,RX,12* 12,
3.474527700,TX,00*,2.702400
14.729503200,RX,08* 08,
15.134529700,RX,10* 10,
15.139451800,TX,00*,2.676200
15.239536500,RX,12* 12,
15.244441600,TX,00 00*,2.659200
15.246828700,RX,00,
15.344543400,RX,11* 00 03 00 00 00 14,
15.355230300,TX,00*,2.711500
15.454550600,RX,12* 12,
15.459479100,TX,01 03 19 78 01 02 5a 0d ff*,2.682600
15.469864100,RX,00,
15.569558100,RX,11* 01 ff ff 00 00 10,
15.581182900,TX,00*,3.649300
15.679565300,RX,30* 30,
15.704566900,RX,17* 00 4b 49 4d 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 00 00 78,
15.745084200,TX,00*,3.685800
15.784572200,RX,12* 12,
15.789531000,TX,09 43 43 56 30 31 37 37 38 35 35 30 00 00 00 00 49 4d 33 30 00 00 00 00 00 00 00 00 23 08 00 00 00 27 d1*,2.712900
15.829679300,RX,00,
15.889579000,RX,17* 04 00 00 00 03 1e,
15.900248200,TX,00*,2.693700
15.999586200,RX,11* 01 ff ff ff ff 00 00 00 00 19 78 9f,
16.017128300,TX,00*,2.691200
16.114593800,RX,12* 12,
16.119517800,TX,00*,2.678100
16.219600600,RX,14* 01 15,
16.225671400,TX,00*,2.678900
16.324607500,RX,12* 12,
16.330245300,TX,00*,3.391900
16.529620900,RX,12* 12,
16.534517200,TX,00*,2.650400
16.734634300,RX,12* 12,
16.739575900,TX,00*,2.695700
16.939647700,RX,12* 12,
16.944563000,TX,00*,2.669300
17.144661200,RX,12* 12,
17.149569500,TX,00*,2.662400
17.249668000,RX,08* 08,
17.354674900,RX,12* 12,
17.359627400,TX,00*,2.706600
17.559688300,RX,12* 12,
17.564913500,TX,00*,2.979300
17.764701700,RX,12* 12,
17.769705600,TX,00*,2.758000
17.969715100,RX,12* 12,
17.974647200,TX,00*,2.686200
18.174728500,RX,12* 12,
18.179647300,TX,00*,2.672800
18.279735400,RX,30* 30,
18.384742300,RX,12* 12,
18.389666100,TX,00*,2.677900
18.589755700,RX,12* 12,
18.594705200,TX,00*,2.703600
18.794769100,RX,12* 12,
18.799692300,TX,00*,2.677300
18.917752500,RX,ff*,
18.917758700,TX,ff*,-1.093800
18.999782500,RX,12* 12,
19.004705400,TX,00*,2.677000
19.204795900,RX,12* 12,
19.209725000,TX,00*,2.683200
19.409809300,RX,12* 12,
19.414738100,TX,00*,2.682800
19.614926900,RX,12* 12,
19.620167200,TX,00*,2.994400
19.819940300,RX,08* 08,
19.844942000,RX,12* 12,
19.849857900,TX,00*,2.670000
20.029954100,RX,12* 12,
20.034880600,TX,00*,2.680600
20.234967500,RX,12* 12,
20.240082200,TX,00*,2.868800
20.439980900,RX,12* 12,
20.444939300,TX,00*,2.712500
20.644994300,RX,12* 12,
20.649919900,TX,00*,2.679700
20.850007700,RX,30* 30,
20.875009400,RX,12* 12,
20.879916100,TX,00*,2.660800
21.060021500,RX,12* 12,
21.064971300,TX,00*,2.703900
21.265034900,RX,12* 12,
21.270017000,TX,00*,2.736200
21.470048300,RX,12* 12,
21.474971600,TX,00*,2.677400
21.675061700,RX,12* 12,
21.679984700,TX,00*,2.677100
21.880075100,RX,12* 12,
21.885010800,TX,00*,2.689800
22.085088500,RX,12* 12,
22.090030400,TX,00*,2.695900
22.290102000,RX,12* 12,
22.295017500,TX,00*,2.669600
22.395108800,RX,08* 08,
22.500115700,RX,12* 12,
22.505029800,TX,00*,2.668200
22.705129100,RX,12* 12,
22.710081900,TX,00*,2.706900
22.910142500,RX,12* 12,
22.915082000,TX,00*,2.693600
23.115155900,RX,12* 12,
23.120543700,TX,00*,3.141800
23.320169400,RX,12* 12,
23.325101700,TX,00*,2.686400
23.425176200,RX,30* 30,
23.530183100,RX,12* 12,
23.535120500,TX,00*,2.691500
23.735196500,RX,12* 12,
23.740146600,TX,00*,2.704200
23.940209900,RX,12* 12,
23.945166200,TX,00*,2.710400
24.145223300,RX,12* 12,
24.150179300,TX,00*,2.710000
24.350236800,RX,12* 12,
24.355147000,TX,00*,2.664300
24.555250200,RX,12* 12,
24.560186000,TX,00*,2.689900
24.760263600,RX,12* 12,
24.765186200,TX,00*,2.676700
24.965381200,RX,08* 08,
24.990278600,RX,12* 12,
24.995208300,TX,00*,2.683700
25.175290700,RX,12* 12,
25.180198600,TX,00*,2.661900
25.380408300,RX,12* 12,
25.385328700,TX,00*,2.674500
25.585421800,RX,12* 12,
25.590393800,TX,00*,2.726100
25.790435200,RX,12* 12,
25.795374400,TX,00*,2.693300
25.995448600,RX,30* 30,
26.020450200,RX,12* 12,
26.025357600,TX,00*,2.661500
26.205462300,RX,12* 12,
26.210393300,TX,00*,2.685100
26.410475700,RX,12* 12,
26.415425900,TX,00*,2.704300
26.615489200,RX,12* 12,
26.620413000,TX,00*,2.677900
26.820502600,RX,12* 12,
26.825738200,TX,00*,2.989700
27.025516000,RX,12* 12,
27.030439300,TX,00*,2.677400
27.230529400,RX,12* 12,
27.235458900,TX,00*,2.683600
27.435542800,RX,12* 12,
27.440472000,TX,00*,2.683300
27.540549700,RX,08* 08,
27.645556600,RX,12* 12,
27.650477800,TX,00*,2.675300
27.850570000,RX,12* 12,
27.855588400,TX,00*,2.772500
28.055583400,RX,12* 12,
28.060530000,TX,00*,2.700700
28.260596800,RX,12* 12,
28.265497600,TX,00*,2.654900
28.465610200,RX,12* 12,
28.470543200,TX,00*,2.687100
28.570617100,RX,30* 30,
28.675624000,RX,12* 12,
28.680555500,TX,00*,2.685600
28.880637400,RX,12* 12,
28.885965200,TX,00*,3.081900
29.085650800,RX,12* 12,
29.090588200,TX,00*,2.691500
29.290664200,RX,12* 12,
29.295588400,TX,00*,2.678300
29.495677600,RX,12* 12,
29.500601500,TX,00*,2.678000
29.700691000,RX,12* 12,
29.705608100,TX,00*,2.671200
29.905704400,RX,12* 12,
29.910640700,TX,00*,2.690300
30.110717900,RX,08* 08,
30.135719500,RX,12* 12,
30.140656300,TX,00*,2.690900
30.320731600,RX,12* 12,
30.325646600,TX,00*,2.669100
30.525745000,RX,12* 12,
30.531277300,TX,00*,3.286400
30.730758400,RX,12* 12,
30.735685800,TX,00*,2.681500
30.935771900,RX,12* 12,
30.940705400,TX,00*,2.687600
31.140889400,RX,30* 30,
31.165786900,RX,12* 12,
31.170708100,TX,00*,2.675300
31.350903200,RX,12* 12,
31.355834900,TX,00*,2.685800
31.555916600,RX,12* 12,
31.562349700,TX,00*,4.187200
31.760930000,RX,12* 12,
31.765854600,TX,00*,2.678700
31.965943400,RX,12* 12,
31.970874200,TX,00*,2.684900
32.170956800,RX,12* 12,
32.175880800,TX,00*,2.678000
32.375970300,RX,12* 12,
32.380913400,TX,00*,2.697200
32.580983700,RX,12* 12,
32.585913500,TX,00*,2.683900
32.685990500,RX,08* 08,
32.790997400,RX,12* 12,
32.795925900,TX,00*,2.682600
32.996010800,RX,12* 12,
33.000952000,TX,00*,2.695300
33.201024200,RX,12* 12,
33.205991100,TX,00*,2.720900
33.406037700,RX,12* 12,
33.410965200,TX,00*,2.681600
33.611051100,RX,12* 12,
33.615991300,TX,00*,2.694300
33.716057900,RX,30* 30,
33.821064800,RX,12* 12,
33.826770700,TX,00*,3.460000
34.026078200,RX,12* 12,
34.030990700,TX,00*,2.666600
34.231091600,RX,12* 12,
34.236036300,TX,00*,2.698700
34.436105100,RX,12* 12,
34.441003900,TX,03 ff ff ff ff ff ff ff ff 00 00 00 44 45 19 78 00 15*,2.652900
34.461731700,RX,00,
34.541111900,RX,12* 12,
34.546039300,TX,00*,2.681500
34.746125300,RX,12* 12,
34.751065500,TX,00*,2.694200
34.951138800,RX,12* 12,
34.956078600,TX,00*,2.693900
35.156152200,RX,12* 12,
35.161078700,TX,00*,2.680600
35.261159100,RX,08* 08,
35.366165900,RX,12* 12,
35.371091000,TX,00*,2.679200
35.571179300,RX,12* 12,
35.576123600,TX,00*,2.698400
35.776192800,RX,12* 12,
35.781123700,TX,00*,2.685000
35.981206200,RX,12* 12,
35.986136900,TX,00*,2.684800
36.186219600,RX,12* 12,
36.191150000,TX,00*,2.684500
36.291226500,RX,30* 30,
36.396233300,RX,12* 12,
36.401175300,TX,00*,2.696100
36.601246700,RX,12* 12,
36.607345600,TX,00*,3.852900
36.806260200,RX,12* 12,
36.811234000,TX,00*,2.727900
37.011377800,RX,12* 12,
37.017397800,TX,00*,3.774100
37.216391200,RX,12* 12,
37.221344800,TX,00*,2.707700
37.421404600,RX,12* 12,
37.427482500,TX,04 04*,3.832000
37.429842600,RX,00,
37.526411500,RX,12* 12,
37.531347800,TX,00*,2.690400
37.731424900,RX,12* 12,
37.738064100,TX,00*,4.393300
37.836431700,RX,08* 08,
37.941438600,RX,12* 12,
37.947978900,TX,00*,4.294400
38.146452000,RX,12* 12,
38.151373300,TX,00*,2.675400
38.351465400,RX,12* 12,
38.358252200,TX,00*,4.540800
38.556478900,RX,12* 12,
38.561464500,TX,00*,2.739700
38.761492300,RX,12* 12,
38.768044400,TX,00*,4.306200
38.866499200,RX,30* 30,
38.971506000,RX,12* 12,
38.978017700,TX,00*,4.265800
