Time,Label,Data,ReplyTime(ms)
0.853399300,TX,11 84* 80 00 e0 33 88 31 01 0d 0a* 31 01* 38* f3*,852.299300
1.756573400,TX,08 32* 93* 0c 00* f0*,886.591900
1.767588100,TX,14 41 04 00 08 08 00 00 00 14 21 00 00 80 09 10 42 11 00 04 fe*,4.379400
1.800247100,TX,00 41 43 41 00 00 00* 10 04* 00 84 fc*,9.344000
2.275389300,TX,10 42 42 09 21 02 81 00 81 e1*,461.699900
6.441612100,TX,00 00 42 20 00 00 10 00 42 01 00 02*,4155.085700
6.769899600,TX,00 41 a0 21 00 01 21,314.905400
10.013826900,RX,08* 08,
10.418853800,RX,10* 10,
10.923887400,RX,30* 30,
12.528994000,RX,08* 08,
13.434054200,RX,30* 30,
13.939087700,RX,10* 10,
15.044265300,RX,08* 08,
15.949325500,RX,30* 30,
17.454425500,RX,10* 10,
17.559432500,RX,08* 08,
18.464492600,RX,30* 30,
20.069703400,RX,08* 08,
20.974763500,RX,30* 30,
20.999765200,RX,10* 10,
22.584870500,RX,08* 08,
23.489930600,RX,30* 30,
24.595004000,RX,10* 10,
25.100037500,RX,08* 08,
26.005201800,RX,30* 30,
27.610308400,RX,08* 08,
28.115341900,RX,10* 10,
28.520368800,RX,30* 30,
30.125475400,RX,08* 08,
31.030535400,RX,30* 30,
31.635679800,RX,10* 10,
32.640746500,RX,08* 08,
33.545806500,RX,30* 30,
35.150913000,RX,08* 08,
35.175914700,RX,10* 10,
36.060973400,RX,30* 30,
37.666184000,RX,08* 08,
38.571244100,RX,30* 30,
38.776257700,RX,10* 10,
40.181350900,RX,08* 08,
41.086410900,RX,30* 30,
42.291490800,RX,10* 10,
42.696517700,RX,08* 08,
43.601681900,RX,30* 30,
45.206788300,RX,08* 08,
45.811828400,RX,10* 10,
46.116848700,RX,30* 30,
47.721955100,RX,08* 08,
48.627015100,RX,30* 30,
49.332166000,RX,10* 10,
50.237226000,RX,08* 08,
51.142286000,RX,30* 30,
52.747392400,RX,08* 08,
52.852399400,RX,10* 10,
53.657452700,RX,30* 30,
55.262663300,RX,08* 08,
56.167723300,RX,30* 30,
56.372736900,RX,10* 10,
57.777830100,RX,08* 08,
58.682890000,RX,30* 30,
59.887969900,RX,10* 10,
60.293100900,RX,08* 08,
61.198160900,RX,30* 30,
62.803267300,RX,08* 08,
63.408307400,RX,10* 10,
63.713327600,RX,30* 30,
65.318433900,RX,08* 08,
66.223598100,RX,30* 30,
66.928644800,RX,10* 10,
66.933574700,TX,00*,2.684000
67.033651700,RX,12* 12,
67.038558000,TX,00 00*,2.660400
67.040943900,RX,00,
67.138658700,RX,11* 00 03 00 00 00 14,
67.149307700,TX,00*,2.673600
67.248666000,RX,12* 12,
67.253569500,TX,00*,2.657600
67.353672900,RX,12* 12,
67.358578800,TX,00*,2.660000
67.458679900,RX,12* 12,
67.463581700,TX,00*,2.655900
67.563686800,RX,12* 12,
67.568591000,TX,00*,2.658200
67.668693800,RX,12* 12,
67.673626400,TX,00*,2.686700
67.773700800,RX,12* 12,
67.778603200,TX,00*,2.656500
67.878707700,RX,08* 08,
67.903709400,RX,12* 12,
67.908608600,TX,00*,2.653300
67.988715000,RX,12* 12,
67.993699200,TX,00*,2.738300
68.093722000,RX,12* 12,
68.098630500,TX,00*,2.662600
68.198728900,RX,12* 12,
68.203639900,TX,00*,2.665100
68.303735900,RX,12* 12,
68.308649200,TX,00*,2.667400
68.408742800,RX,12* 12,
68.413639100,TX,00*,2.650400
68.513749800,RX,12* 12,
68.518654900,TX,00*,2.659200
68.618756700,RX,12* 12,
68.623657800,TX,00*,2.655200
68.723763700,RX,12* 12,
68.728667100,TX,00*,2.657500
68.828770600,RX,30* 30,
68.853772300,RX,12* 12,
68.858672500,TX,00*,2.654300
68.938777900,RX,12* 12,
68.943672000,TX,00*,2.648200
69.043784900,RX,12* 12,
69.048687900,TX,00*,2.657100
69.148791800,RX,12* 12,
69.153697300,TX,00*,2.659600
69.253798800,RX,12* 12,
69.258778100,TX,00*,2.733400
69.358805800,RX,12* 12,
69.363729000,TX,00*,2.677300
69.463812700,RX,12* 12,
69.468712300,TX,00*,2.653700
69.568819700,RX,12* 12,
69.573903700,TX,00*,2.838100
69.673826600,RX,12* 12,
69.678744000,TX,00*,2.671500
69.778833600,RX,12* 12,
69.783746900,TX,00*,2.667400
69.883840500,RX,12* 12,
69.888769200,TX,00*,2.682800
69.988847500,RX,12* 12,
69.993759100,TX,00*,2.665700
70.093854400,RX,12* 12,
70.098768400,TX,00*,2.668100
70.198861400,RX,12* 12,
70.203758300,TX,00*,2.651000
70.303868400,RX,12* 12,
70.308774100,TX,00*,2.659800
70.408875300,RX,08* 08,
70.433877000,RX,12* 12,
70.438818500,TX,00*,2.695600
70.518882600,RX,12* 12,
70.523785500,TX,00*,2.657000
70.623889500,RX,12* 12,
70.628801400,TX,00*,2.665900
70.728896500,RX,12* 12,
70.733797700,TX,00*,2.655300
70.833903500,RX,12* 12,
70.838807100,TX,00*,2.657700
70.938910400,RX,12* 12,
70.943816400,TX,00*,2.660100
71.043917400,RX,12* 12,
71.048819300,TX,00*,2.656000
71.148924300,RX,12* 12,
71.153822200,TX,00*,2.652000
71.253931300,RX,12* 12,
71.258831500,TX,00*,2.654300
71.358938200,RX,30* 30,
71.383939900,RX,12* 12,
71.388843400,TX,00*,2.657600
71.468945500,RX,12* 12,
71.473842900,TX,00*,2.651500
71.573952500,RX,12* 12,
71.578852300,TX,00*,2.653900
71.678959400,RX,12* 12,
71.683861600,TX,00 00*,2.656300
71.686251600,RX,00,
