Time,Label,Data,ReplyTime(ms)
0.776569700,RX,10* 10,
0.881576500,RX,08* 08,
1.786634600,RX,30* 30,
3.391841700,RX,08* 08,
4.296899800,RX,30* 30,
4.321901400,RX,10* 10,
5.907003100,RX,08* 08,
6.812061100,RX,30* 30,
7.917132000,RX,10* 10,
8.422164400,RX,08* 08,
9.327326700,RX,30* 30,
10.932429700,RX,08* 08,
11.437462100,RX,10* 10,
11.842488100,RX,30* 30,
13.447591100,RX,08* 08,
14.352649100,RX,30* 30,
14.957792100,RX,10* 10,
15.962856600,RX,08* 08,
16.867914700,RX,30* 30,
18.473017700,RX,08* 08,
18.498019300,RX,10* 10,
19.383076100,RX,30* 30,
20.988283300,RX,08* 08,
21.893341300,RX,30* 30,
22.098354500,RX,10* 10,
23.503444700,RX,08* 08,
24.408502800,RX,30* 30,
25.613580100,RX,10* 10,
26.018606100,RX,08* 08,
26.923768400,RX,30* 30,
28.528871400,RX,08* 08,
29.133910200,RX,10* 10,
29.438929800,RX,30* 30,
31.044032800,RX,08* 08,
31.949090900,RX,30* 30,
32.654240300,RX,10* 10,
33.559298400,RX,08* 08,
34.464356500,RX,30* 30,
36.069459600,RX,08* 08,
36.174466300,RX,10* 10,
36.979518000,RX,30* 30,
38.584725200,RX,08* 08,
39.489783300,RX,30* 30,
39.694796500,RX,10* 10,
41.099886700,RX,08* 08,
42.004944900,RX,30* 30,
43.210022300,RX,10* 10,
43.615152400,RX,08* 08,
44.520210600,RX,30* 30,
46.125313700,RX,08* 08,
46.730352600,RX,10* 10,
46.735341400,TX,00*,2.742900
46.835359300,RX,12* 12,
46.840298600,TX,00 00*,2.693400
46.842651500,RX,00,
46.940366100,RX,11* 00 03 00 00 00 14,
46.951067600,TX,00*,2.726100
47.050373100,RX,30* 30,
47.075374700,RX,12* 12,
47.080299300,TX,00*,2.678600
47.160380200,RX,12* 12,
47.165363700,TX,00*,2.737600
47.265387000,RX,12* 12,
47.270340500,TX,00*,2.707600
47.370393700,RX,12* 12,
47.375486200,TX,00*,2.846600
47.475400500,RX,12* 12,
47.480332900,TX,00*,2.686500
47.580407200,RX,12* 12,
47.585335700,TX,00*,2.682600
47.685413900,RX,12* 12,
47.690344900,TX,00*,2.685000
47.790420700,RX,12* 12,
47.795347600,TX,00*,2.681000
47.895427400,RX,12* 12,
47.900363400,TX,00*,2.690100
48.000434200,RX,12* 12,
48.005366100,TX,00*,2.686000
48.105440900,RX,12* 12,
48.110362400,TX,00*,2.675600
48.210447700,RX,12* 12,
48.215371600,TX,00*,2.678000
48.315454400,RX,12* 12,
48.320380900,TX,00*,2.680600
48.420461200,RX,12* 12,
48.425390100,TX,00*,2.683000
48.525467900,RX,12* 12,
48.530444800,TX,00*,2.731000
48.630474700,RX,08* 08,
48.655476300,RX,12* 12,
48.660385100,TX,00 00*,2.662900
48.662768400,RX,00,
48.740481700,RX,11* 01 ff ff 00 00 10,
48.751124800,TX,01 03 19 78 01 02 5a 0d ff*,2.667600
48.761524800,RX,00,
48.840488200,RX,11* 01 ff ff 00 00 10,
48.851154400,TX,00*,2.690800
48.950495200,RX,17* 00 4b 49 4d 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 00 00 78,
48.989922800,TX,00*,2.804400
49.050501700,RX,12* 12,
49.055504000,TX,09 43 43 56 30 31 37 37 38 35 35 30 00 00 00 00 49 4d 33 30 00 00 00 00 00 00 00 00 23 08 00 00 00 27 d1*,2.756400
49.095608700,RX,00,
49.155508400,RX,12* 12,
