Time,Label,Data,ReplyTime(ms)
0.036222200,RX,12* 12,
0.041148700,TX,00*,2.680600
0.141229100,RX,08* 08,
0.246236000,RX,12* 12,
0.251180600,TX,00*,2.698700
0.451249500,RX,12* 12,
0.456174200,TX,00*,2.678800
0.656263100,RX,12* 12,
0.661187400,TX,00*,2.678400
0.861380700,RX,12* 12,
0.866311100,TX,00*,2.684400
1.066394300,RX,12* 12,
1.071415300,TX,00*,2.775100
1.171401200,RX,30* 30,
1.276408100,RX,12* 12,
1.281323600,TX,00*,2.669600
1.481421600,RX,12* 12,
1.486343300,TX,00*,2.675800
1.686435200,RX,12* 12,
1.691356400,TX,00*,2.675300
1.891448700,RX,12* 12,
1.896376100,TX,00*,2.681500
2.096462200,RX,12* 12,
2.101389200,TX,00*,2.681100
2.301475700,RX,12* 12,
2.306415400,TX,00*,2.693800
2.506489200,RX,12* 12,
2.511422100,TX,00*,2.686900
2.711502800,RX,08* 08,
2.736504400,RX,12* 12,
2.741431300,TX,00*,2.681000
2.921516600,RX,12* 12,
2.926467100,TX,00*,2.704600
3.126530100,RX,12* 12,
3.131805400,TX,00*,3.029300
3.331543700,RX,12* 12,
3.336467500,TX,00*,2.677900
3.536557200,RX,12* 12,
3.541500100,TX,00*,2.697000
3.741570700,RX,30* 30,
3.766572400,RX,12* 12,
3.773388100,TX,00*,4.569800
3.951584600,RX,12* 12,
4.056591500,RX,12* 12,
4.061515600,TX,00*,2.678200
4.261605000,RX,12* 12,
4.266528800,TX,00*,2.677900
4.466618500,RX,12* 12,
4.471554900,TX,00*,2.690500
4.671632100,RX,12* 12,
4.676568100,TX,00*,2.690100
4.876645600,RX,12* 12,
4.881568300,TX,00*,2.676800
5.081659100,RX,12* 12,
5.086600900,TX,00*,2.695900
5.286672600,RX,08* 08,
5.311674300,RX,12* 12,
5.316649200,TX,00*,2.729000
5.496686500,RX,12* 12,
5.501626500,TX,00*,2.694100
5.701700000,RX,12* 12,
5.706698200,TX,00*,2.752300
5.906713500,RX,12* 12,
5.912094900,TX,00*,3.135500
6.111727000,RX,12* 12,
6.116672500,TX,00*,2.699500
6.316844700,RX,30* 30,
6.341742200,RX,12* 12,
6.349886700,TX,00*,5.898600
6.526754400,RX,12* 12,
6.531678600,TX,00*,2.678300
6.731872100,RX,12* 12,
6.736795700,TX,00*,2.677700
6.936885600,RX,12* 12,
6.941782900,TX,00*,2.651400
7.141899200,RX,12* 12,
7.146828600,TX,00*,2.683500
7.346912700,RX,12* 12,
7.351854700,TX,00*,2.696100
7.551926200,RX,12* 12,
7.556880900,TX,00*,2.708800
7.756939700,RX,12* 12,
7.761868100,TX,00*,2.682500
7.861946600,RX,08* 08,
7.966953600,RX,12* 12,
7.971893400,TX,00*,2.693900
8.171967100,RX,12* 12,
8.176900100,TX,00*,2.687100
8.376980600,RX,12* 12,
8.381906800,TX,00*,2.680300
8.581994100,RX,12* 12,
8.586919900,TX,00*,2.679900
8.702916600,RX,ff*,
8.787007700,RX,12* 12,
8.791939600,TX,00*,2.686000
8.892014600,RX,30* 30,
8.997021500,RX,12* 12,
9.002101500,TX,00*,2.834100
9.202035000,RX,12* 12,
9.206965200,TX,03 ff ff ff ff ff ff 00 00 00 fd*,2.684300
9.219640400,RX,00,
9.317042600,RX,12* 12,
9.321973000,TX,00*,2.684500
9.522056100,RX,12* 12,
9.526979700,TX,00*,2.677700
9.827076300,RX,13* 04 17,
9.833153800,TX,00*,2.685700
9.932083200,RX,12* 12,
9.937006000,TX,00*,2.676900
10.037090100,RX,12* 12,
10.041996000,TX,00*,2.660000
10.142097000,RX,12* 12,
10.147050900,TX,00*,2.708000
10.247104000,RX,12* 12,
10.252027900,TX,00*,2.678000
10.352110900,RX,12* 12,
10.357037300,TX,00*,2.680500
10.457117800,RX,08* 08,
10.482119500,RX,12* 12,
10.487036300,TX,00*,2.670900
10.567125100,RX,12* 12,
10.572048900,TX,00*,2.677900
10.672132000,RX,12* 12,
10.677051800,TX,00*,2.673900
10.777138900,RX,12* 12,
10.782061300,TX,00*,2.676500
10.882145800,RX,12* 12,
10.887064200,TX,00*,2.672400
10.987152800,RX,12* 12,
10.992093200,TX,00*,2.694500
11.092159700,RX,12* 12,
11.097089600,TX,00*,2.684000
11.197166600,RX,12* 12,
11.202092500,TX,00*,2.680000
11.302173600,RX,12* 12,
11.307089000,TX,00*,2.669500
11.407180500,RX,30* 30,
11.432182100,RX,12* 12,
11.437094500,TX,00*,2.666500
11.517187700,RX,12* 12,
11.522113600,TX,00*,2.680000
11.622194700,RX,12* 12,
11.627116500,TX,00*,2.675900
11.727201600,RX,12* 12,
11.732126000,TX,00*,2.678500
11.832208500,RX,12* 12,
11.837135400,TX,00*,2.681000
11.937215400,RX,12* 12,
11.942144900,TX,00*,2.683600
12.042222400,RX,12* 12,
12.047173800,TX,00*,2.705500
12.147229300,RX,12* 12,
12.152150700,TX,00*,2.675500
12.252236200,RX,12* 12,
12.257160200,TX,00*,2.678100
12.357347300,RX,12* 12,
12.362280100,TX,00*,2.686900
12.462354200,RX,12* 12,
12.467296100,TX,00*,2.695900
12.567361200,RX,12* 12,
12.572292500,TX,00*,2.685400
12.672368100,RX,12* 12,
12.677289000,TX,00*,2.675000
12.777375000,RX,12* 12,
12.782304900,TX,00*,2.684000
12.882382000,RX,12* 12,
12.887314300,TX,00*,2.686400
12.987388900,RX,08* 08,
13.012390500,RX,12* 12,
13.017326400,TX,00*,2.690000
13.097396100,RX,12* 12,
13.102325900,TX,00*,2.683800
13.202403100,RX,12* 12,
13.207328900,TX,00*,2.679900
13.307410000,RX,12* 12,
13.312331800,TX,00*,2.675900
13.412416900,RX,12* 12,
13.417341300,TX,00*,2.678500
13.517423900,RX,12* 12,
13.522389700,TX,00*,2.719900
13.622430800,RX,12* 12,
13.627321200,TX,00*,2.644500
13.727437700,RX,12* 12,
13.732402100,TX,00*,2.718500
13.832444600,RX,12* 12,
13.837392000,TX,00*,2.701500
13.937451600,RX,30* 30,
13.962453200,RX,12* 12,
13.967378000,TX,00*,2.678900
14.047458800,RX,12* 12,
14.052475100,TX,07 07*,2.770400
14.054855100,RX,00,
14.152465700,RX,12* 12,
14.157387100,TX,00*,2.675400
14.357479300,RX,12* 12,
14.362400200,TX,00*,2.675000
14.562492800,RX,12* 12,
14.571171000,TX,00*,6.432300
14.772506700,RX,12* 12,
14.777445300,TX,00*,2.692700
14.977520200,RX,12* 12,
14.982439000,TX,00*,2.672900
15.182533700,RX,12* 12,
15.187471600,TX,00*,2.692000
15.387547200,RX,12* 12,
15.392497800,TX,00*,2.704700
15.492554200,RX,08* 08,
15.597561100,RX,12* 12,
15.602529800,TX,00*,2.722800
15.802574600,RX,12* 12,
15.807490900,TX,00*,2.670400
16.007588200,RX,12* 12,
16.012517100,TX,00*,2.683000
16.212601700,RX,12* 12,
16.217562700,TX,00*,2.715100
16.417615200,RX,12* 12,
16.422757900,TX,00*,2.896800
16.522622100,RX,30* 30,
27.808227100,RX,08* 08,
28.213253900,RX,10* 10,
28.218225000,TX,00*,2.725200
28.318260800,RX,12* 12,
28.323188900,TX,00 00*,2.682200
28.325552900,RX,00,
28.423267700,RX,11* 00 03 00 00 00 14,
28.433951700,TX,00*,2.708500
28.533275000,RX,12* 12,
28.538213500,TX,01 03 19 78 01 02 5a 0d ff*,2.692600
28.548588500,RX,00,
28.648282600,RX,11* 01 ff ff 00 00 10,
28.658948700,TX,00*,2.690700
28.758289900,RX,30* 30,
28.783291500,RX,17* 00 4b 49 4d 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 00 00 78,
28.822603000,TX,00*,2.688300
28.863296800,RX,12* 12,
28.868239400,TX,09 43 43 56 30 31 37 37 38 35 35 30 00 00 00 00 49 4d 33 30 00 00 00 00 00 00 00 00 23 08 00 00 00 27 d1*,2.696700
28.908403900,RX,00,
28.968303700,RX,17* 04 00 00 00 03 1e,
28.978982800,TX,00*,2.703600
29.078311000,RX,11* 01 ff ff ff ff 00 00 00 00 19 78 9f,
29.095882400,TX,00*,2.720500
29.193318600,RX,12* 12,
29.198265400,TX,00*,2.700900
29.298325500,RX,14* 01 15,
29.304393100,TX,00*,2.675800
29.403332400,RX,12* 12,
29.408284300,TX,00*,2.705900
29.608346000,RX,12* 12,
29.613447000,TX,00*,2.855100
29.813359500,RX,12* 12,
29.818291200,TX,00*,2.685800
30.018373100,RX,12* 12,
30.023284900,TX,00*,2.665900
30.223386600,RX,12* 12,
30.228304500,TX,00*,2.672000
30.328393500,RX,08* 08,
30.433400500,RX,12* 12,
30.438310400,TX,00*,2.664000
30.638414000,RX,12* 12,
30.643343100,TX,00*,2.683200
30.843427600,RX,12* 12,
30.848343300,TX,00*,2.669800
31.048441100,RX,12* 12,
31.053434400,TX,00*,2.747400
31.253454600,RX,12* 12,
31.258369700,TX,00*,2.669200
31.358461600,RX,30* 30,
31.463468500,RX,12* 12,
31.468369000,TX,00*,2.654600
31.668482000,RX,12* 12,
31.674636900,TX,00*,3.909000
31.873495600,RX,12* 12,
31.878421300,TX,00*,2.679800
32.078509100,RX,12* 12,
32.084962300,TX,00*,4.207300
32.283522700,RX,12* 12,
32.288499700,TX,00*,2.731100
32.488536200,RX,12* 12,
32.493467400,TX,00*,2.685300
32.693549700,RX,12* 12,
32.698467600,TX,00*,2.672000
32.898667500,RX,08* 08,
32.923564900,RX,12* 12,
32.928515800,TX,00*,2.705000
33.108681300,RX,12* 12,
33.115059800,TX,00*,4.132600
33.313694900,RX,12* 12,
33.320957200,TX,00*,5.016400
33.518708400,RX,12* 12,
33.523636500,TX,00*,2.682200
33.723721900,RX,12* 12,
33.728649700,TX,00*,2.681800
33.928735500,RX,30* 30,
33.953737100,RX,12* 12,
33.958691500,TX,00*,2.708500
34.138749400,RX,12* 12,
34.143681800,TX,00*,2.686500
34.343762900,RX,12* 12,
34.348688500,TX,00*,2.679700
34.548776400,RX,12* 12,
34.553695100,TX,00*,2.672800
34.753790000,RX,12* 12,
34.758727800,TX,00*,2.691900
34.958803500,RX,12* 12,
34.963734500,TX,00*,2.685100
35.163817100,RX,12* 12,
35.168767200,TX,00*,2.704200
35.368830600,RX,12* 12,
35.373760800,TX,00*,2.684300
35.473837500,RX,08* 08,
35.578844500,RX,12* 12,
35.583766700,TX,00*,2.676300
35.783858000,RX,12* 12,
35.788916400,TX,00*,2.812500
35.988871600,RX,12* 12,
35.993812600,TX,00*,2.695100
36.193885100,RX,12* 12,
36.198793200,TX,00*,2.662200
36.398898600,RX,12* 12,
36.403819400,TX,00*,2.674900
36.503905600,RX,30* 30,
36.608912500,RX,12* 12,
36.613838300,TX,00*,2.679900
36.813926000,RX,12* 12,
36.818871000,TX,00*,2.699000
37.018939600,RX,12* 12,
37.023871200,TX,00*,2.685700
37.223953100,RX,12* 12,
37.228871300,TX,00*,2.672300
37.428966700,RX,12* 12,
37.433897500,TX,00*,2.684900
37.633980200,RX,12* 12,
37.638917200,TX,00*,2.691100
37.838993800,RX,12* 12,
37.843923900,TX,00*,2.684200
38.044007300,RX,08* 08,
38.069008900,RX,12* 12,
38.073933200,TX,00*,2.678300
38.254021200,RX,12* 12,
38.258969000,TX,00*,2.701900
38.459034700,RX,12* 12,
38.463956100,TX,00*,2.675500
38.664152400,RX,12* 12,
38.669079800,TX,00*,2.681500
38.869166000,RX,12* 12,
38.874093000,TX,00*,2.681100
39.074179500,RX,30* 30,
39.099181100,RX,12* 12,
39.104082800,TX,00*,2.655700
39.284193400,RX,12* 12,
39.289112100,TX,00*,2.672800
39.489206900,RX,12* 12,
39.494255300,TX,00*,2.802500
39.694220500,RX,12* 12,
39.699151400,TX,00*,2.685000
39.899234000,RX,12* 12,
39.904164600,TX,00*,2.684700
40.104247500,RX,12* 12,
40.109177800,TX,00*,2.684400
40.309261100,RX,12* 12,
40.314191000,TX,00*,2.684000
40.514274600,RX,12* 12,
40.519418700,TX,00*,2.898200
40.619281600,RX,08* 08,
40.724288500,RX,12* 12,
40.729236100,TX,00*,2.701700
40.929302000,RX,12* 12,
40.934223300,TX,00*,2.675400
41.134315600,RX,12* 12,
41.139242900,TX,00*,2.681400
41.339329100,RX,12* 12,
41.344249600,TX,00*,2.674600
41.544342700,RX,12* 12,
41.549457800,TX,00*,2.869200
41.649349600,RX,30* 30,
41.754356500,RX,12* 12,
41.759307700,TX,00*,2.705300
41.959370100,RX,12* 12,
41.964294900,TX,00*,2.678900
