Time,Label,Data,ReplyTime(ms)
2.489445500,TX,00 00 42 20 80 20 00 01 20 42 08 f0*,2488.345500
2.817746700,TX,00 40 28 01 00 01* a9*,314.477100
5.953459500,RX,08* 08,
6.358486200,RX,10* 10,
6.863519500,RX,30* 30,
8.468625300,RX,08* 08,
9.373685000,RX,30* 30,
9.878718300,RX,10* 10,
10.983895300,RX,08* 08,
11.888955000,RX,30* 30,
13.394054200,RX,10* 10,
13.499061100,RX,08* 08,
14.404120700,RX,30* 30,
16.009226400,RX,08* 08,
16.914390200,RX,30* 30,
16.939287700,RX,10* 10,
18.524496200,RX,08* 08,
19.429555800,RX,30* 30,
20.534628500,RX,10* 10,
21.039661700,RX,08* 08,
21.944721200,RX,30* 30,
23.549931000,RX,08* 08,
24.054964200,RX,10* 10,
24.459990800,RX,30* 30,
26.065096400,RX,08* 08,
26.970155900,RX,30* 30,
27.575195700,RX,10* 10,
28.580365900,RX,08* 08,
29.485425500,RX,30* 30,
31.090531000,RX,08* 08,
31.115532600,RX,10* 10,
32.000590800,RX,30* 30,
33.605696400,RX,08* 08,
34.510860100,RX,30* 30,
34.715873600,RX,10* 10,
36.120966000,RX,08* 08,
37.026025500,RX,30* 30,
38.231104700,RX,10* 10,
38.636131300,RX,08* 08,
39.541295000,RX,30* 30,
41.146400500,RX,08* 08,
41.751440300,RX,10* 10,
42.056460400,RX,30* 30,
43.661565900,RX,08* 08,
44.566625400,RX,30* 30,
45.271671700,RX,10* 10,
46.176835400,RX,08* 08,
47.081894800,RX,30* 30,
48.687000300,RX,08* 08,
48.792007200,RX,10* 10,
49.096347600,RX,fd*,
49.096348500,TX,ff*,-1.099100
49.597060100,RX,30* 30,
51.202269800,RX,08* 08,
52.107329300,RX,30* 30,
52.312342700,RX,10* 10,
53.717435100,RX,08* 08,
54.622494500,RX,30* 30,
55.827573700,RX,10* 10,
56.232600300,RX,08* 08,
57.137764000,RX,30* 30,
58.742869400,RX,08* 08,
59.347909200,RX,10* 10,
59.352830800,TX,00*,2.675700
59.452916100,RX,12* 12,
59.457853200,TX,00 00*,2.691200
59.460208200,RX,00,
59.557923000,RX,11* 00 03 00 00 00 14,
59.568843400,TX,00*,2.944900
59.667930200,RX,30* 30,
59.692931900,RX,12* 12,
59.697841200,TX,00*,2.663400
59.777937500,RX,12* 12,
59.782834300,TX,00*,2.650900
59.882944400,RX,12* 12,
59.887850200,TX,00*,2.659900
59.987951300,RX,12* 12,
59.992846600,TX,00*,2.649400
60.092958200,RX,12* 12,
60.097888600,TX,00*,2.684500
60.197965100,RX,12* 12,
60.202885000,TX,00*,2.674000
60.302972000,RX,12* 12,
60.307900900,TX,00*,2.683000
60.407978900,RX,12* 12,
60.412903800,TX,00*,2.679000
60.512985800,RX,12* 12,
60.517906700,TX,00*,2.675000
60.617992700,RX,12* 12,
60.622916100,TX,00*,2.677500
60.722999600,RX,12* 12,
60.727932100,TX,00*,2.686600
60.828006500,RX,12* 12,
60.832935000,TX,00*,2.682600
60.933013400,RX,12* 12,
60.937957400,TX,00*,2.698100
61.038020300,RX,12* 12,
61.043012300,TX,00*,2.746100
61.143027200,RX,12* 12,
61.147956700,TX,00*,2.683600
61.248034000,RX,08* 08,
61.273035700,RX,12* 12,
61.278014200,TX,00*,2.732600
61.358041300,RX,12* 12,
61.362961700,TX,00*,2.674500
61.463048200,RX,12* 12,
61.468140200,TX,00*,2.846100
61.568055100,RX,12* 12,
61.572993600,TX,00*,2.692600
61.673062000,RX,12* 12,
61.677990000,TX,00*,2.682100
61.778068900,RX,12* 12,
61.782999400,TX,00*,2.684600
61.883075800,RX,12* 12,
61.888002300,TX,00*,2.680600
61.988082700,RX,12* 12,
61.993044300,TX,00*,2.715700
62.093089600,RX,12* 12,
62.098014600,TX,00 00*,2.679100
62.100381700,RX,00,
62.198096500,RX,30* 30,
62.223098100,RX,11* 01 ff ff 00 00 10,
62.233812400,TX,01 03 19 78 01 02 5a 0d ff*,2.738800
62.244245300,RX,00,
62.303103400,RX,11* 01 ff ff 00 00 10,
62.313780300,TX,00*,2.701500
62.413110600,RX,17* 00 4b 49 4d 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 00 00 78,
62.452516500,TX,00*,2.782700
62.513117200,RX,12* 12,
62.518110800,TX,09 43 43 56 30 31 37 37 38 35 35 30 00 00 00 00 49 4d 33 30 00 00 00 00 00 00 00 00 23 08 00 00 00 27 d1*,2.747700
62.558224300,RX,00,
62.618124100,RX,12* 12,
62.623042200,TX,00*,2.672200
62.723130900,RX,14* 01 15,
62.729228300,TX,00*,2.705500
62.828137800,RX,12* 12,
62.833113000,TX,00*,2.729200
63.033255500,RX,12* 12,
63.039998500,TX,00*,4.497100
63.238268900,RX,12* 12,
63.243217300,TX,00*,2.702400
63.443282400,RX,12* 12,
63.448191400,TX,00*,2.663100
63.648295900,RX,12* 12,
63.653211100,TX,00*,2.669300
63.753302800,RX,08* 08,
63.858309700,RX,12* 12,
63.863236400,TX,00*,2.680800
64.063323100,RX,12* 12,
64.068223500,TX,00*,2.654500
64.268336600,RX,12* 12,
64.273360100,TX,00*,2.777600
64.473350100,RX,12* 12,
64.478288700,TX,00*,2.692700
64.678363500,RX,12* 12,
64.683288800,TX,00*,2.679400
64.783370400,RX,30* 30,
64.888377300,RX,12* 12,
64.893301100,TX,00*,2.677900
65.093390800,RX,12* 12,
65.098320700,TX,00*,2.684000
65.298404200,RX,12* 12,
65.303346900,TX,00*,2.696800
65.503417700,RX,12* 12,
65.508386000,TX,00*,2.722400
65.708431200,RX,12* 12,
65.713379600,TX,00*,2.702500
65.913444600,RX,12* 12,
65.918366700,TX,00*,2.676200
66.118458100,RX,12* 12,
66.123386400,TX,00*,2.682400
66.323471500,RX,08* 08,
66.348473200,RX,12* 12,
66.356171400,TX,00*,5.452300
66.533485300,RX,12* 12,
66.538424700,TX,00*,2.693500
66.738498800,RX,12* 12,
66.743424900,TX,00*,2.680200
66.943512200,RX,12* 12,
66.948451000,TX,00*,2.692800
67.148525700,RX,12* 12,
67.153477100,TX,00*,2.705500
67.353539200,RX,30* 30,
67.378540800,RX,12* 12,
67.383557800,TX,00*,2.771100
67.563552900,RX,12* 12,
67.568489500,TX,00*,2.690600
67.768566400,RX,12* 12,
67.773528700,TX,00*,2.716400
67.973579900,RX,12* 12,
67.978509200,TX,00*,2.683400
68.178593300,RX,12* 12,
68.183515900,TX,00*,2.676700
68.383606800,RX,12* 12,
68.388535500,TX,00*,2.682800
68.588620200,RX,12* 12,
68.593626600,TX,00*,2.760500
68.793737900,RX,12* 12,
68.798659200,TX,00*,2.675400
68.898744800,RX,08* 08,
69.003751600,RX,12* 12,
69.008671600,TX,00*,2.674000
69.208765100,RX,12* 12,
69.213697600,TX,00*,2.686600
69.413778600,RX,12* 12,
69.418717200,TX,00*,2.692700
69.618792000,RX,12* 12,
69.623736900,TX,00*,2.699000
69.823805500,RX,12* 12,
69.828737000,TX,00*,2.685600
69.928812400,RX,30* 30,
70.033819300,RX,12* 12,
70.038742800,TX,00*,2.677600
70.238832700,RX,12* 12,
70.243781900,TX,00*,2.703300
70.443846200,RX,12* 12,
70.448762500,TX,00*,2.670400
70.648859600,RX,12* 12,
70.653762600,TX,00*,2.657100
70.853873100,RX,12* 12,
70.858821300,TX,00*,2.702300
71.058886600,RX,12* 12,
71.063821400,TX,00*,2.688900
71.263900000,RX,12* 12,
71.268815000,TX,00*,2.669100
71.468913500,RX,08* 08,
71.493915100,RX,12* 12,
71.498804600,TX,00*,2.643600
71.678927200,RX,12* 12,
71.683853400,TX,00*,2.680200
71.883940700,RX,12* 12,
71.888873000,TX,00*,2.686400
72.088954200,RX,12* 12,
72.093873100,TX,00*,2.673000
72.293967600,RX,12* 12,
72.298892700,TX,00*,2.679200
72.498981100,RX,30* 30,
72.523982700,RX,12* 12,
72.528940900,TX,00*,2.712300
72.708994900,RX,12* 12,
72.713963600,TX,00*,2.722800
72.914008300,RX,12* 12,
72.918937800,TX,00*,2.683600
73.119021800,RX,12* 12,
73.123950900,TX,00*,2.683200
73.324035200,RX,12* 12,
73.328977000,TX,00*,2.695900
73.529048700,RX,12* 12,
73.534016100,TX,00*,2.721500
73.734062100,RX,12* 12,
73.739009700,TX,00*,2.701700
73.939075600,RX,12* 12,
73.944009800,TX,00*,2.688300
74.044186700,RX,08* 08,
74.149089400,RX,12* 12,
74.154015600,TX,00*,2.680300
74.354102800,RX,12* 12,
74.359418800,TX,00*,3.070100
74.559220500,RX,12* 12,
74.564171900,TX,00*,2.705500
74.764233900,RX,12* 12,
74.769159000,TX,00*,2.679200
74.969247400,RX,12* 12,
74.974178600,TX,00*,2.685300
75.074254300,RX,30* 30,
75.179261200,RX,12* 12,
75.184255900,TX,00*,2.748800
75.384274600,RX,12* 12,
75.389490000,TX,00*,2.969500
75.589288100,RX,12* 12,
75.594217100,TX,00*,2.683100
75.794301500,RX,12* 12,
75.799223700,TX,00*,2.676300
75.999315000,RX,12* 12,
76.004243300,TX,00*,2.682400
76.204328400,RX,12* 12,
76.209256400,TX,00*,2.682000
76.409341900,RX,12* 12,
76.414263000,TX,00*,2.675200
76.614355400,RX,08* 08,
76.639357000,RX,12* 12,
76.644285200,TX,00*,2.682300
76.824369100,RX,12* 12,
76.829301500,TX,00*,2.686400
77.029382600,RX,12* 12,
77.034340600,TX,00*,2.712100
77.234396100,RX,12* 12,
77.239314700,TX,00*,2.672700
77.439409500,RX,12* 12,
77.444321300,TX,00*,2.665900
77.644423000,RX,30* 30,
77.669424600,RX,12* 12,
77.674356500,TX,00*,2.686000
77.854436800,RX,12* 12,
77.959443700,RX,12* 12,
77.964375700,TX,00*,2.686100
78.164457100,RX,12* 12,
78.169707300,TX,00*,3.004300
78.369470600,RX,12* 12,
78.374401800,TX,00*,2.685300
78.574484000,RX,12* 12,
78.579603500,TX,00*,2.873500
78.779497500,RX,12* 12,
78.784421600,TX,00*,2.678200
78.984511000,RX,12* 12,
78.989720700,TX,00*,2.963800
79.189524400,RX,08* 08,
79.214526100,RX,12* 12,
79.219437300,TX,00*,2.665300
79.399538200,RX,12* 12,
79.404460100,TX,00*,2.676000
79.604551700,RX,12* 12,
79.609479700,TX,00*,2.682100
79.809565100,RX,12* 12,
79.814557900,TX,00*,2.746900
80.014578600,RX,12* 12,
80.019505900,TX,00*,2.681400
80.219696200,RX,30* 30,
80.244593700,RX,12* 12,
80.249495600,TX,00*,2.656000
80.429710000,RX,12* 12,
80.434661400,TX,00*,2.705500
80.634723500,RX,12* 12,
80.639661500,TX,00*,2.692100
80.839736900,RX,12* 12,
80.844694100,TX,00*,2.711200
81.044750400,RX,12* 12,
81.049668200,TX,00*,2.671900
81.249763900,RX,12* 12,
81.254687800,TX,00*,2.678000
81.454777300,RX,12* 12,
81.459817900,TX,00*,2.794700
81.659790800,RX,12* 12,
81.664720600,TX,00*,2.683900
81.764797700,RX,08* 08,
81.869804600,RX,12* 12,
81.874745800,TX,00*,2.695300
82.074818100,RX,12* 12,
82.079746000,TX,00*,2.682000
82.279831500,RX,12* 12,
82.284752600,TX,00*,2.675200
82.484845000,RX,12* 12,
82.489778700,TX,00*,2.687800
82.689858500,RX,12* 12,
82.694798300,TX,00*,2.693900
82.794865300,RX,30* 30,
82.899872200,RX,12* 12,
82.904804100,TX,00*,2.685900
83.104885700,RX,12* 12,
83.109817200,TX,00*,2.685600
83.309899200,RX,12* 12,
83.314823900,TX,00*,2.678800
83.514912600,RX,12* 12,
83.519836900,TX,00*,2.678300
83.719926100,RX,12* 12,
83.724856500,TX,00*,2.684500
83.924939600,RX,12* 12,
83.929954200,TX,00*,2.768700
84.129953000,RX,12* 12,
84.134856800,TX,00*,2.657800
84.334966500,RX,08* 08,
84.359968200,RX,12* 12,
84.364918000,TX,00*,2.703900
84.544980300,RX,12* 12,
84.549882200,TX,00*,2.656000
84.749993800,RX,12* 12,
84.754940800,TX,00*,2.701100
84.955007200,RX,12* 12,
84.959934400,TX,00*,2.681300
85.160020700,RX,12* 12,
85.164954000,TX,00*,2.687400
85.365034200,RX,30* 30,
85.390035800,RX,12* 12,
85.394976200,TX,00*,2.694500
85.575048000,RX,12* 12,
85.579966500,TX,00*,2.672600
85.780061400,RX,12* 12,
85.784986100,TX,00*,2.678700
85.985179100,RX,12* 12,
85.990103200,TX,00*,2.678200
86.190192600,RX,12* 12,
86.195129300,TX,00*,2.690800
86.395206000,RX,12* 12,
86.400135900,TX,00*,2.684000
86.600219500,RX,12* 12,
86.605168500,TX,00*,2.703100
86.805233000,RX,12* 12,
86.810155700,TX,00*,2.676800
86.910239900,RX,08* 08,
87.015246800,RX,12* 12,
87.020174500,TX,00*,2.681800
87.220260200,RX,12* 12,
87.225181100,TX,00*,2.675000
87.425273700,RX,12* 12,
87.430194200,TX,00*,2.674600
87.630287200,RX,12* 12,
87.635207300,TX,00*,2.674200
87.835300600,RX,12* 12,
87.840233400,TX,00*,2.686800
87.940307500,RX,30* 30,
88.045314400,RX,12* 12,
88.050245700,TX,00*,2.685300
88.250327900,RX,12* 12,
88.256318500,TX,00*,3.744700
88.455341400,RX,12* 12,
88.460291500,TX,00*,2.704200
88.660354900,RX,12* 12,
88.665304600,TX,00*,2.703800
88.865368300,RX,12* 12,
88.870298200,TX,00*,2.684000
89.070381800,RX,12* 12,
89.075317800,TX,00*,2.690100
89.275395300,RX,12* 12,
89.280337400,TX,00*,2.696200
89.480408800,RX,08* 08,
89.505410400,RX,12* 12,
89.510353100,TX,00*,2.696800
89.690422600,RX,12* 12,
89.695317400,TX,00*,2.648900
89.895436000,RX,12* 12,
89.900356500,TX,00*,2.674600
90.100449500,RX,12* 12,
90.105382600,TX,00*,2.687200
90.305463000,RX,12* 12,
90.310389200,TX,00*,2.680300
90.510476400,RX,30* 30,
90.535478100,RX,12* 12,
90.540398400,TX,00*,2.674400
90.720490300,RX,12* 12,
90.725447200,TX,00*,2.711000
90.925503700,RX,12* 12,
90.930440800,TX,00*,2.691200
91.130517200,RX,12* 12,
91.135447400,TX,00*,2.684300
91.335530700,RX,12* 12,
91.340460500,TX,00*,2.683900
91.540544100,RX,12* 12,
91.545473600,TX,00*,2.683500
91.745661800,RX,12* 12,
91.750590800,TX,00*,2.683100
91.950675300,RX,12* 12,
91.955629900,TX,00*,2.708700
92.055682200,RX,08* 08,
92.160689100,RX,12* 12,
92.165616200,TX,00*,2.681200
92.365702600,RX,12* 12,
92.370635800,TX,00*,2.687300
92.570716000,RX,12* 12,
92.575649000,TX,00*,2.687100
92.775729500,RX,12* 12,
92.780662000,TX,00*,2.686600
92.980743000,RX,12* 12,
92.985681700,TX,00*,2.692800
93.085749900,RX,30* 30,
93.190756800,RX,12* 12,
93.195694000,TX,00*,2.691300
93.395770300,RX,12* 12,
93.400707100,TX,00*,2.690900
93.600783700,RX,12* 12,
93.605726700,TX,00*,2.697100
