Time,Label,Data,ReplyTime(ms)
2.372818300,TX,00 00 42 44 08 91 00 00 00 10 80 00,2371.718300
2.699041100,TX,00 41 a0 21 01 42 21,312.867200
5.998287500,RX,08* 08,
6.403314200,RX,10* 10,
6.908347500,RX,30* 30,
8.513453300,RX,08* 08,
9.418513000,RX,30* 30,
9.923546300,RX,10* 10,
11.028723300,RX,08* 08,
11.933783000,RX,30* 30,
13.438882200,RX,10* 10,
13.543889100,RX,08* 08,
14.448948700,RX,30* 30,
16.054054500,RX,08* 08,
16.959218300,RX,30* 30,
16.984115700,RX,10* 10,
18.569324300,RX,08* 08,
19.474383900,RX,30* 30,
20.579456700,RX,10* 10,
21.084489900,RX,08* 08,
21.989549500,RX,30* 30,
23.594759400,RX,08* 08,
24.099792600,RX,10* 10,
24.504819300,RX,30* 30,
26.109925000,RX,08* 08,
27.014984500,RX,30* 30,
27.620024400,RX,10* 10,
28.625194700,RX,08* 08,
29.530254300,RX,30* 30,
31.135360000,RX,08* 08,
31.160361600,RX,10* 10,
32.045419900,RX,30* 30,
33.650629700,RX,08* 08,
34.555689300,RX,30* 30,
34.760702800,RX,10* 10,
36.165795300,RX,08* 08,
37.070854800,RX,30* 30,
38.275934100,RX,10* 10,
38.680960800,RX,08* 08,
39.586124600,RX,30* 30,
41.191230200,RX,08* 08,
41.796270000,RX,10* 10,
42.101290100,RX,30* 30,
43.706395700,RX,08* 08,
44.611455300,RX,30* 30,
45.316605900,RX,10* 10,
46.221665400,RX,08* 08,
47.126725000,RX,30* 30,
48.731830600,RX,08* 08,
48.836837500,RX,10* 10,
49.641890500,RX,30* 30,
51.247100300,RX,08* 08,
52.152159800,RX,30* 30,
52.357173300,RX,10* 10,
53.762265800,RX,08* 08,
54.667325300,RX,30* 30,
55.872404600,RX,10* 10,
56.277431200,RX,08* 08,
57.182594900,RX,30* 30,
58.787700500,RX,08* 08,
59.392740300,RX,10* 10,
59.697760400,RX,30* 30,
61.302866000,RX,08* 08,
62.207925500,RX,30* 30,
62.913076100,RX,10* 10,
62.917850500,TX,00*,2.528500
63.017978800,RX,12* 12,
63.022735600,TX,00 00*,2.510900
63.025062600,RX,00,
63.123089900,RX,11* 00 03 00 00 00 14,
63.133640500,TX,00*,2.575200
63.233097100,RX,12* 12,
63.237856000,TX,01 03 18 40 01 02 28 09 90*,2.513000
63.248202300,RX,00,
63.348104700,RX,11* 01 ff ff 00 00 10,
63.358642200,TX,00*,2.562100
