Time,Label,Data,ReplyTime(ms)
8.243960300,RX,08* 08,
8.648987000,RX,10* 10,
8.653763800,TX,00*,2.530900
8.753993900,RX,12* 12,
8.759025900,TX,00 00*,2.786000
8.761390300,RX,00,
8.859000900,RX,11* 00 03 00 00 00 14,
8.869703300,TX,00*,2.727000
8.969008200,RX,12* 12,
8.973957900,TX,01 03 18 40 01 02 28 09 90*,2.703800
8.984321700,RX,00,
9.084015700,RX,11* 01 ff ff 00 00 10,
9.094802700,TX,00*,2.811500
9.194023000,RX,30* 30,
9.219024700,RX,17* 00 4b 49 4d 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 00 00 78,
9.258364700,TX,00*,2.716900
9.299030000,RX,12* 12,
9.303792800,TX,09 50 41 58 46 46 46 46 46 46 46 46 46 46 46 46 49 4d 33 30 00 00 00 00 00 00 00 00 00 02 00 00 00 20 55*,2.516900
9.344032900,RX,00,
9.404036900,RX,17* 04 00 00 00 00 1b,
9.414554800,TX,00*,2.542500
9.514044200,RX,12* 12,
9.518783300,TX,00*,2.493200
9.619051100,RX,14* 01 15,
9.624962100,TX,00*,2.519200
9.724058000,RX,12* 12,
9.729067100,TX,00*,2.763200
9.929071600,RX,12* 12,
9.934020300,TX,00*,2.702800
10.134085100,RX,12* 12,
10.138986400,TX,00*,2.655400
10.339098700,RX,12* 12,
10.343881000,TX,00*,2.536400
10.544112200,RX,12* 12,
10.548860100,TX,00*,2.502000
10.749125800,RX,08* 08,
10.774127400,RX,12* 12,
10.778874100,TX,00*,2.500800
10.959139600,RX,12* 12,
10.963889000,TX,00*,2.503500
11.164153200,RX,12* 12,
11.168991700,TX,00*,2.592600
11.369166700,RX,12* 12,
11.373925300,TX,00*,2.512700
11.574180300,RX,12* 12,
11.578962900,TX,00*,2.536700
11.779193800,RX,30* 30,
11.804195500,RX,12* 12,
11.808944400,TX,00*,2.503000
11.989207700,RX,12* 12,
11.993952800,TX,00*,2.499200
12.194221200,RX,12* 12,
12.198997000,TX,00*,2.529900
12.399234800,RX,12* 12,
12.403989100,TX,00*,2.508400
12.604248300,RX,12* 12,
12.609000700,TX,00*,2.506500
12.809261900,RX,12* 12,
12.814051300,TX,00*,2.543500
13.014275400,RX,12* 12,
13.019030500,TX,00*,2.509200
13.219288900,RX,12* 12,
13.224094100,TX,00*,2.559300
13.324400100,RX,08* 08,
13.429407000,RX,12* 12,
13.434169900,TX,00*,2.517000
13.634420500,RX,12* 12,
13.639175000,TX,00*,2.508600
13.839434100,RX,12* 12,
13.844186700,TX,00*,2.506700
14.044447600,RX,12* 12,
14.049191800,TX,00*,2.498300
14.249461200,RX,12* 12,
14.254235900,TX,00*,2.528800
14.354468100,RX,30* 30,
14.459475000,RX,12* 12,
14.464220700,TX,00*,2.499800
14.664488600,RX,12* 12,
14.669245400,TX,00*,2.510900
14.869502100,RX,12* 12,
14.874270000,TX,00*,2.522000
15.074515700,RX,12* 12,
15.079262100,TX,00*,2.500500
15.279529200,RX,12* 12,
15.284306300,TX,00*,2.531200
15.484542800,RX,12* 12,
15.489298400,TX,00*,2.509700
15.689556300,RX,12* 12,
15.694316500,TX,00*,2.514300
15.894569800,RX,08* 08,
15.919571500,RX,12* 12,
15.924317500,TX,00*,2.500100
16.104583700,RX,12* 12,
16.109332500,TX,00*,2.502900
16.309597300,RX,12* 12,
16.314370100,TX,00*,2.526900
16.514610800,RX,12* 12,
16.519368700,TX,00*,2.512000
16.719624300,RX,12* 12,
16.724386900,TX,00*,2.516600
16.924637900,RX,30* 30,
16.949639500,RX,12* 12,
16.954381400,TX,00*,2.496000
17.134651800,RX,12* 12,
17.139402800,TX,00*,2.505100
17.339665300,RX,12* 12,
17.344440400,TX,00*,2.529200
17.544678800,RX,12* 12,
17.549426100,TX,00*,2.501300
17.749692400,RX,12* 12,
17.754450700,TX,00*,2.512400
17.954705900,RX,12* 12,
17.959449300,TX,00*,2.497500
18.159719500,RX,12* 12,
18.164649500,TX,00*,2.684100
18.364733000,RX,12* 12,
18.369511600,TX,00*,2.532700
18.469740000,RX,08* 08,
18.574746900,RX,12* 12,
18.579502900,TX,00*,2.510100
18.779760400,RX,12* 12,
18.784514500,TX,00*,2.508200
18.984774000,RX,12* 12,
