Time,Label,Data,ReplyTime(ms)
0.0362222,RX,12* 12,
0.0411487,TX,00*,2.6806
0.1412291,RX,08* 08,
0.246236,RX,12* 12,
0.2511806,TX,00*,2.6987
0.4512495,RX,12* 12,
0.4561742,TX,00*,2.6788
0.6562631,RX,12* 12,
0.6611874,TX,00*,2.6784
0.8613807,RX,12* 12,
0.8663111,TX,00*,2.6844
1.0663943,RX,12* 12,
1.0714153,TX,00*,2.7751
1.1714012,RX,30* 30,
1.2764081,RX,12* 12,
1.2813236,TX,00*,2.6696
1.4814216,RX,12* 12,
1.4863433,TX,00*,2.6758
1.6864352,RX,12* 12,
1.6913564,TX,00*,2.6753
1.8914487,RX,12* 12,
1.8963761,TX,00*,2.6815
2.0964622,RX,12* 12,
2.1013892,TX,00*,2.6811
2.3014757,RX,12* 12,
2.3064154,TX,00*,2.6938
2.5064892,RX,12* 12,
2.5114221,TX,00*,2.6869
2.7115028,RX,08* 08,
2.7365044,RX,12* 12,
2.7414313,TX,00*,2.681
2.9215166,RX,12* 12,
2.9264671,TX,00*,2.7046
3.1265301,RX,12* 12,
3.1318054,TX,00*,3.0293
3.3315437,RX,12* 12,
3.3364675,TX,00*,2.6779
3.5365572,RX,12* 12,
3.5415001,TX,00*,2.697
3.7415707,RX,30* 30,
3.7665724,RX,12* 12,
3.7733881,TX,00*,4.5698
3.9515846,RX,12* 12,
4.0565915,RX,12* 12,
4.0615156,TX,00*,2.6782
4.261605,RX,12* 12,
4.2665288,TX,00*,2.6779
4.4666185,RX,12* 12,
4.4715549,TX,00*,2.6905
4.6716321,RX,12* 12,
4.6765681,TX,00*,2.6901
4.8766456,RX,12* 12,
4.8815683,TX,00*,2.6768
5.0816591,RX,12* 12,
5.0866009,TX,00*,2.6959
5.2866726,RX,08* 08,
5.3116743,RX,12* 12,
5.3166492,TX,00*,2.729
5.4966865,RX,12* 12,
5.5016265,TX,00*,2.6941
5.7017,RX,12* 12,
5.7066982,TX,00*,2.7523
5.9067135,RX,12* 12,
5.9120949,TX,00*,3.1355
6.111727,RX,12* 12,
6.1166725,TX,00*,2.6995
6.3168447,RX,30* 30,
6.3417422,RX,12* 12,
6.3498867,TX,00*,5.8986
6.5267544,RX,12* 12,
6.5316786,TX,00*,2.6783
6.7318721,RX,12* 12,
6.7367957,TX,00*,2.6777
6.9368856,RX,12* 12,
6.9417829,TX,00*,2.6514
7.1418992,RX,12* 12,
7.1468286,TX,00*,2.6835
7.3469127,RX,12* 12,
7.3518547,TX,00*,2.6961
7.5519262,RX,12* 12,
7.5568809,TX,00*,2.7088
7.7569397,RX,12* 12,
7.7618681,TX,00*,2.6825
7.8619466,RX,08* 08,
7.9669536,RX,12* 12,
7.9718934,TX,00*,2.6939
8.1719671,RX,12* 12,
8.1769001,TX,00*,2.6871
8.3769806,RX,12* 12,
8.3819068,TX,00*,2.6803
8.5819941,RX,12* 12,
8.5869199,TX,00*,2.6799
8.7029166,RX,ff*,
8.7870077,RX,12* 12,
8.7919396,TX,00*,2.686
8.8920146,RX,30* 30,
8.9970215,RX,12* 12,
9.0021015,TX,00*,2.8341
9.202035,RX,12* 12,
9.2069652,TX,03 ff ff ff ff ff ff 00 00 00 fd*,2.6843
9.2196404,RX,0,
9.3170426,RX,12* 12,
9.321973,TX,00*,2.6845
9.5220561,RX,12* 12,
9.5269797,TX,00*,2.6777
9.8270763,RX,13* 04 17,vending-machine find funds is 0 and refuse the transaction
9.8331538,TX,00*,2.6857
9.9320832,RX,12* 12,
9.937006,TX,00*,2.6769
10.0370901,RX,12* 12,
10.041996,TX,00*,2.66
10.142097,RX,12* 12,
10.1470509,TX,00*,2.708
10.247104,RX,12* 12,
10.2520279,TX,00*,2.678
10.3521109,RX,12* 12,
10.3570373,TX,00*,2.6805
10.4571178,RX,08* 08,
10.4821195,RX,12* 12,
10.4870363,TX,00*,2.6709
10.5671251,RX,12* 12,
10.5720489,TX,00*,2.6779
10.672132,RX,12* 12,
10.6770518,TX,00*,2.6739
10.7771389,RX,12* 12,
10.7820613,TX,00*,2.6765
10.8821458,RX,12* 12,
10.8870642,TX,00*,2.6724
10.9871528,RX,12* 12,
10.9920932,TX,00*,2.6945
11.0921597,RX,12* 12,
11.0970896,TX,00*,2.684
11.1971666,RX,12* 12,
11.2020925,TX,00*,2.68
11.3021736,RX,12* 12,
11.307089,TX,00*,2.6695
11.4071805,RX,30* 30,
11.4321821,RX,12* 12,
11.4370945,TX,00*,2.6665
11.5171877,RX,12* 12,
11.5221136,TX,00*,2.68
11.6221947,RX,12* 12,
11.6271165,TX,00*,2.6759
11.7272016,RX,12* 12,
11.732126,TX,00*,2.6785
11.8322085,RX,12* 12,
11.8371354,TX,00*,2.681
11.9372154,RX,12* 12,
11.9421449,TX,00*,2.6836
12.0422224,RX,12* 12,
12.0471738,TX,00*,2.7055
12.1472293,RX,12* 12,
12.1521507,TX,00*,2.6755
12.2522362,RX,12* 12,
12.2571602,TX,00*,2.6781
12.3573473,RX,12* 12,
12.3622801,TX,00*,2.6869
12.4623542,RX,12* 12,
12.4672961,TX,00*,2.6959
12.5673612,RX,12* 12,
12.5722925,TX,00*,2.6854
12.6723681,RX,12* 12,
12.677289,TX,00*,2.675
12.777375,RX,12* 12,
12.7823049,TX,00*,2.684
12.882382,RX,12* 12,
12.8873143,TX,00*,2.6864
12.9873889,RX,08* 08,
13.0123905,RX,12* 12,
13.0173264,TX,00*,2.69
13.0973961,RX,12* 12,
13.1023259,TX,00*,2.6838
13.2024031,RX,12* 12,
13.2073289,TX,00*,2.6799
13.30741,RX,12* 12,
13.3123318,TX,00*,2.6759
13.4124169,RX,12* 12,
13.4173413,TX,00*,2.6785
13.5174239,RX,12* 12,
13.5223897,TX,00*,2.7199
13.6224308,RX,12* 12,
13.6273212,TX,00*,2.6445
13.7274377,RX,12* 12,
13.7324021,TX,00*,2.7185
13.8324446,RX,12* 12,
13.837392,TX,00*,2.7015
13.9374516,RX,30* 30,
13.9624532,RX,12* 12,
13.967378,TX,00*,2.6789
14.0474588,RX,12* 12,
14.0524751,TX,07 07*,2.7704
14.0548551,RX,0,
14.1524657,RX,12* 12,
14.1573871,TX,00*,2.6754
14.3574793,RX,12* 12,
14.3624002,TX,00*,2.675
14.5624928,RX,12* 12,
14.571171,TX,00*,6.4323
14.7725067,RX,12* 12,
14.7774453,TX,00*,2.6927
14.9775202,RX,12* 12,
14.982439,TX,00*,2.6729
15.1825337,RX,12* 12,
15.1874716,TX,00*,2.692
15.3875472,RX,12* 12,
15.3924978,TX,00*,2.7047
15.4925542,RX,08* 08,
15.5975611,RX,12* 12,
15.6025298,TX,00*,2.7228
15.8025746,RX,12* 12,
