Time,Label,Data,ReplyTime(ms)
0.111602225,RX,12* 12,
0.116506950,TX,00*,2.660575
0.324397750,RX,12* 12,
0.329302950,TX,00*,2.661025
0.535737075,RX,12* 12,
0.540629725,TX,00*,2.648475
0.747043900,RX,12* 12,
0.751937000,TX,00*,2.648925
0.959046325,RX,12* 12,
0.963946350,TX,00*,2.655850
1.170392175,RX,12* 12,
1.175292650,TX,00*,2.656325
1.381731500,RX,12* 12,
1.386638925,TX,00*,2.663275
1.594345000,RX,12* 12,
1.599278900,TX,00*,2.689725
1.805703850,RX,12* 12,
1.810651200,TX,00*,2.703200
2.017075675,RX,12* 12,
2.021977950,TX,00*,2.658100
2.229253625,RX,12* 12,
2.234162850,TX,00*,2.665050
2.440651475,RX,12* 12,
2.445548150,TX,00*,2.652525
2.651971300,RX,12* 12,
2.656874925,TX,00*,2.659475
2.864526300,RX,12* 12,
2.869456375,TX,00*,2.685900
3.075885125,RX,12* 12,
3.080789650,TX,00*,2.660350
3.287243950,RX,12* 12,
3.292142425,TX,00*,2.654300
3.499421900,RX,12* 12,
3.504327350,TX,00*,2.661275
3.710748250,RX,12* 12,
3.715667125,TX,00*,2.674725
3.922087575,RX,12* 12,
3.927104425,TX,00*,2.772700
4.134707575,RX,12* 12,
4.139633850,TX,00*,2.682100
4.346085925,RX,12* 12,
4.351012650,TX,00*,2.682575
4.557444750,RX,12* 12,
4.562345925,TX,00*,2.657000
4.769609700,RX,12* 12,
4.774511325,TX,00*,2.657450
4.980936025,RX,12* 12,
4.985851100,TX,00*,2.670900
5.192307850,RX,12* 12,
5.197210375,TX,00*,2.658350
5.404908375,RX,12* 12,
5.409804850,TX,00*,2.652300
5.616228200,RX,12* 12,
5.621131625,TX,00*,2.659250
5.827554525,RX,12* 12,
5.832458400,TX,00*,2.659700
6.039784475,RX,12* 12,
6.044688825,TX,00*,2.660175
6.251143300,RX,12* 12,
6.256054575,TX,00*,2.667100
6.462541150,RX,12* 12,
6.467459350,TX,00*,2.674025
6.675089650,RX,12* 12,
6.680008325,TX,00*,2.674500
6.886428975,RX,12* 12,
6.891335100,TX,00*,2.661950
7.097755300,RX,12* 12,
7.102648875,TX,00*,2.649400
7.309991775,RX,12* 12,
7.315529400,TX,00*,3.293475
7.522013700,RX,12* 12,
7.526901650,TX,00*,2.643800
7.733320525,RX,12* 12,
7.738221925,TX,00*,2.657250
7.945238425,RX,12* 12,
7.950153300,TX,00*,2.670700
8.156571250,RX,12* 12,
