Time [s],Value,Parity Error,Framing Error
1.445652875,0x000,,
1.446796850,0x100,,
1.681148900,0x100,,
1.816673700,0x100,,
2.054854675,0x100,,
2.103774100,0x000,,
2.104918150,0x100,,
2.159786100,0x001,,
2.160930125,0x003,,
2.162074300,0x011,,
2.163218450,0x056,,
2.164362625,0x001,,
2.165506775,0x002,,
2.166650950,0x028,,
2.167795100,0x009,,
2.168939275,0x19F,,
2.223547175,0x100,,
2.262819275,0x100,,
2.494128775,0x003,,
2.495272775,0x000,,
2.496416950,0x064,,
2.497561100,0x000,,
2.498705275,0x000,,
2.499849450,0x000,,
2.500993600,0x000,,
2.502137775,0x000,,
2.503281925,0x000,,
2.504426100,0x000,,
2.505570250,0x167,,
2.743192275,0x100,,
2.959315575,0x100,,
3.198224650,0x100,,
3.428357450,0x100,,
3.661422175,0x100,,
3.884319450,0x100,,
4.104414800,0x100,,
4.333585475,0x100,,
4.572501025,0x100,,
4.788533325,0x100,,
5.019556750,0x100,,
5.236687700,0x100,,
5.456679075,0x100,,
5.689860800,0x100,,
5.909644125,0x100,,
6.133822100,0x100,,
6.363831375,0x100,,
6.605314800,0x100,,
6.849099550,0x100,,
7.081234650,0x100,,
7.299002675,0x100,,
7.538028750,0x100,,
7.784088825,0x100,,
8.005191850,0x100,,
8.234160975,0x100,,
8.487307075,0x100,,
8.702188700,0x100,,
8.942274425,0x100,,
9.171256575,0x100,,
9.402689575,0x100,,
9.636625425,0x100,,
9.857409900,0x100,,
10.073461675,0x100,,
10.307787600,0x100,,
10.530216800,0x100,,
10.760928175,0x100,,
11.002684625,0x100,,
11.228734850,0x100,,
11.470998400,0x100,,
11.697185125,0x100,,
11.917826575,0x100,,
12.154993375,0x100,,
12.383253925,0x100,,
12.602036125,0x100,,
12.840230075,0x100,,
13.070076850,0x100,,
13.289457125,0x100,,
13.530082425,0x100,,
13.758141425,0x100,,
14.014876050,0x100,,
14.239606575,0x100,,
14.462295850,0x100,,
14.714785350,0x100,,
14.942447800,0x100,,
15.162712225,0x100,,
15.402615925,0x100,,
15.627892575,0x100,,
15.851082400,0x100,,
16.084712725,0x100,,
16.314917075,0x100,,
16.533803300,0x100,,
16.772946425,0x100,,
17.002117100,0x100,,
17.242605925,0x100,,
17.470847000,0x100,,
17.721795800,0x100,,
17.952747775,0x100,,
18.175060000,0x100,,
18.390338225,0x100,,
18.630046950,0x100,,
18.865120500,0x100,,
19.113228425,0x100,,
19.343348275,0x100,,
19.559530125,0x100,,
19.780288650,0x100,,
20.017208475,0x100,,
20.247939425,0x100,,
20.485327325,0x100,,
20.715317150,0x100,,
20.933533825,0x100,,
21.173528600,0x006,,
21.174672600,0x106,,
21.403388425,0x100,,
21.621397075,0x100,,
21.858375425,0x100,,
22.087435650,0x100,,
22.305385775,0x100,,
22.541740050,0x100,,
22.758578550,0x100,,
22.982054475,0x100,,
23.211602275,0x100,,
23.430839625,0x100,,
23.597406425,0x100,,
23.825979100,0x100,,
24.052803000,0x100,,
24.271871325,0x100,,
24.510897475,0x100,,
24.741895000,0x100,,
24.957998900,0x100,,
25.195965400,0x100,,
25.417062000,0x100,,
25.648352075,0x100,,
25.879908675,0x100,,
26.104398750,0x100,,
26.331261675,0x100,,
26.551383125,0x100,,
26.767610525,0x100,,
27.006487175,0x100,,
27.235618925,0x100,,
27.456891050,0x100,,
27.696372275,0x100,,
27.922812625,0x100,,
28.140340225,0x100,,
28.379821450,0x100,,
28.608849200,0x100,,
28.827826500,0x100,,
29.067028200,0x100,,
29.297336625,0x100,,
29.534106975,0x100,,
29.765572550,0x100,,
29.984010275,0x100,,
30.223179475,0x100,,
30.450913525,0x100,,
30.669266750,0x100,,
30.906940725,0x100,,
31.137346700,0x100,,
31.355251325,0x100,,
31.593399875,0x006,,
31.594543875,0x106,,
31.824247900,0x100,,
