Time [s],Value,Parity Error,Framing Error
5.953459500,0x108,,
5.954605400,0x008,,
6.358486200,0x110,,
6.359632100,0x010,,
6.863519500,0x130,,
6.864665400,0x030,,
8.468625300,0x108,,
8.469771200,0x008,,
9.373685000,0x130,,
9.374830900,0x030,,
9.878718300,0x110,,
9.879864200,0x010,,
10.983895300,0x108,,
10.985041200,0x008,,
11.888955000,0x130,,
11.890100900,0x030,,
13.394054200,0x110,,
13.395200100,0x010,,
13.499061100,0x108,,
13.500207000,0x008,,
14.404120700,0x130,,
14.405266600,0x030,,
16.009226400,0x108,,
16.010372300,0x008,,
16.914390200,0x130,,
16.915536100,0x030,,
16.939287700,0x110,,
16.940433600,0x010,,
18.524496200,0x108,,
18.525642100,0x008,,
19.429555800,0x130,,
19.430701700,0x030,,
20.534628500,0x110,,
20.535774400,0x010,,
21.039661700,0x108,,
21.040807600,0x008,,
21.944721200,0x130,,
21.945867100,0x030,,
23.549931000,0x108,,
23.551076900,0x008,,
24.054964200,0x110,,
24.056110100,0x010,,
24.459990800,0x130,,
24.461136700,0x030,,
26.065096400,0x108,,
26.066242300,0x008,,
26.970155900,0x130,,
26.971301800,0x030,,
27.575195700,0x110,,
27.576341600,0x010,,
28.580365900,0x108,,
28.581511900,0x008,,
29.485425500,0x130,,
29.486571400,0x030,,
31.090531000,0x108,,
31.091676900,0x008,,
31.115532600,0x110,,
31.116678600,0x010,,
32.000590800,0x130,,
32.001736800,0x030,,
33.605696400,0x108,,
33.606842300,0x008,,
34.510860100,0x130,,
34.512006000,0x030,,
34.715873600,0x110,,
34.717019500,0x010,,
36.120966000,0x108,,
36.122111900,0x008,,
37.026025500,0x130,,
37.027171400,0x030,,
38.231104700,0x110,,
38.232250600,0x010,,
38.636131300,0x108,,
38.637277300,0x008,,
39.541295000,0x130,,
39.542440900,0x030,,
41.146400500,0x108,,
41.147546400,0x008,,
41.751440300,0x110,,
41.752586200,0x010,,
42.056460400,0x130,,
42.057606300,0x030,,
43.661565900,0x108,,
43.662711800,0x008,,
44.566625400,0x130,,
44.567771300,0x030,,
45.271671700,0x110,,
45.272817600,0x010,,
46.176835400,0x108,,
46.177981300,0x008,,
47.081894800,0x130,,
47.083040700,0x030,,
48.687000300,0x108,,
48.688146200,0x008,,
48.792007200,0x110,,
48.793153100,0x010,,
49.096347600,0x1FD,,
49.597060100,0x130,,
49.598206000,0x030,,
51.202269800,0x108,,
51.203415700,0x008,,
52.107329300,0x130,,
52.108475200,0x030,,
52.312342700,0x110,,
52.313488600,0x010,,
53.717435100,0x108,,
53.718581000,0x008,,
54.622494500,0x130,,
54.623640400,0x030,,
55.827573700,0x110,,
55.828719600,0x010,,
56.232600300,0x108,,
56.233746200,0x008,,
57.137764000,0x130,,
57.138909900,0x030,,
58.742869400,0x108,,
58.744015300,0x008,,
59.347909200,0x110,,
59.349055100,0x010,,
59.452916100,0x112,,
59.454062000,0x012,,
59.460208200,0x000,,
59.557923000,0x111,,
59.559068900,0x000,,
59.560214800,0x003,,
59.561360700,0x000,,
59.562506600,0x000,,
59.563652500,0x000,,
59.564798500,0x014,,
59.667930200,0x130,,
59.669076100,0x030,,
59.692931900,0x112,,
59.694077800,0x012,,
59.777937500,0x112,,
59.779083400,0x012,,
59.882944400,0x112,,
59.884090300,0x012,,
59.987951300,0x112,,
59.989097200,0x012,,
60.092958200,0x112,,
60.094104100,0x012,,
60.197965100,0x112,,
60.199111000,0x012,,
60.302972000,0x112,,
60.304117900,0x012,,
60.407978900,0x112,,
60.409124800,0x012,,
60.512985800,0x112,,
60.514131700,0x012,,
60.617992700,0x112,,
60.619138600,0x012,,
60.722999600,0x112,,
60.724145500,0x012,,
60.828006500,0x112,,
60.829152400,0x012,,
60.933013400,0x112,,
60.934159300,0x012,,
61.038020300,0x112,,
61.039166200,0x012,,
61.143027200,0x112,,
61.144173100,0x012,,
61.248034000,0x108,,
61.249180000,0x008,,
61.273035700,0x112,,
61.274181600,0x012,,
61.358041300,0x112,,
61.359187200,0x012,,
61.463048200,0x112,,
61.464194100,0x012,,
61.568055100,0x112,,
61.569201000,0x012,,
61.673062000,0x112,,
61.674207900,0x012,,
61.778068900,0x112,,
61.779214800,0x012,,
61.883075800,0x112,,
61.884221700,0x012,,
61.988082700,0x112,,
61.989228600,0x012,,
62.093089600,0x112,,
62.094235500,0x012,,
62.100381700,0x000,,
62.198096500,0x130,,
62.199242400,0x030,,
62.223098100,0x111,,
62.224244000,0x001,,
62.225389900,0x0FF,,
62.226535800,0x0FF,,
62.227681700,0x000,,
62.228827600,0x000,,
62.229973600,0x010,,
62.244245300,0x000,,
62.303103400,0x111,,
62.304249300,0x001,,
62.305395200,0x0FF,,
62.306541100,0x0FF,,
62.307687000,0x000,,
62.308832900,0x000,,
62.309978800,0x010,,
62.413110600,0x117,,
62.414256500,0x000,,
62.415402400,0x04B,,
62.416548300,0x049,,
62.417694200,0x04D,,
62.418840100,0x030,,
62.419986000,0x030,,
62.421131900,0x030,,
62.422277900,0x030,,
62.423423800,0x030,,
62.424569700,0x030,,
62.425715600,0x030,,
62.426861500,0x030,,
62.428007400,0x030,,
62.429153300,0x030,,
62.430299200,0x030,,
62.431445100,0x030,,
62.432591000,0x030,,
62.433736900,0x030,,
62.434882800,0x030,,
62.436028800,0x030,,
62.437174700,0x030,,
62.438320600,0x030,,
62.439466500,0x030,,
62.440612400,0x030,,
62.441758300,0x030,,
62.442904200,0x030,,
62.444050100,0x030,,
62.445196000,0x030,,
62.446341900,0x000,,
62.447487800,0x000,,
62.448633800,0x078,,
62.513117200,0x112,,
62.514263100,0x012,,
62.558224300,0x000,,
62.618124100,0x112,,
62.619270000,0x012,,
62.723130900,0x114,,
62.724276900,0x001,,
62.725422800,0x015,,
62.828137800,0x112,,
62.829283800,0x012,,
63.033255500,0x112,,
63.034401400,0x012,,
63.238268900,0x112,,
63.239414900,0x012,,
63.443282400,0x112,,
63.444428300,0x012,,
63.648295900,0x112,,
63.649441800,0x012,,
63.753302800,0x108,,
63.754448700,0x008,,
63.858309700,0x112,,
63.859455600,0x012,,
64.063323100,0x112,,
64.064469000,0x012,,
64.268336600,0x112,,
64.269482500,0x012,,
64.473350100,0x112,,
64.474496000,0x012,,
64.678363500,0x112,,
64.679509400,0x012,,
64.783370400,0x130,,
64.784516300,0x030,,
64.888377300,0x112,,
64.889523200,0x012,,
65.093390800,0x112,,
65.094536700,0x012,,
65.298404200,0x112,,
65.299550100,0x012,,
65.503417700,0x112,,
65.504563600,0x012,,
65.708431200,0x112,,
65.709577100,0x012,,
65.913444600,0x112,,
65.914590500,0x012,,
66.118458100,0x112,,
66.119604000,0x012,,
66.323471500,0x108,,
66.324617400,0x008,,
66.348473200,0x112,,
66.349619100,0x012,,
66.533485300,0x112,,
66.534631200,0x012,,
66.738498800,0x112,,
66.739644700,0x012,,
66.943512200,0x112,,
