Time,Label,Data,ReplyTime(ms)
0.027243975,RX,12* 12,
0.03339495,TX,00*,3.905075
0.232256275,RX,12* 12,
0.237173175,TX,00*,2.671
0.437268575,RX,08* 08,
0.4622701,RX,12* 12,
0.467182675,TX,00*,2.6667
0.647281175,RX,12* 12,
0.6534669,TX,00*,3.939825
0.852293475,RX,12* 12,
0.85725165,TX,00*,2.712275
1.05730575,RX,12* 12,
1.0633442,TX,00*,3.792525
1.26231805,RX,12* 12,
1.26723945,TX,00*,2.6755
1.46733035,RX,30* 30,
1.49233185,RX,12* 12,
1.497235925,TX,00*,2.658175
1.67734295,RX,12* 12,
1.68341615,TX,00*,3.8273
1.88235525,RX,12* 12,
1.8873374,TX,00*,2.73625
2.08736755,RX,12* 12,
2.09339095,TX,00*,3.7775
2.292379825,RX,12* 12,
2.2973122,TX,00*,2.686475
2.497392125,RX,12* 12,
2.50333975,TX,00*,3.701725
2.702404425,RX,12* 12,
2.7073455,TX,00*,2.69515
2.907416725,RX,12* 12,
2.913821625,TX,03 ff ff ff ff ff ff 00 00 00 fd*,4.159
2.92648035,RX,0,
3.007422725,RX,08* 08,
3.032424225,RX,12* 12,
3.037339325,TX,00*,2.6692
3.2174353,RX,12* 12,
3.22324,TX,00*,3.5588
3.4224476,RX,12* 12,
3.427343275,TX,00*,2.649775
3.6274599,RX,12* 12,
3.63353335,TX,00*,3.82755
3.8324722,RX,12* 12,
3.8374286,TX,00*,2.7105
4.03758865,RX,30* 30,
4.062486,RX,12* 12,
4.0674381,TX,00*,2.7062
4.24760125,RX,12* 12,
4.253533775,TX,00*,3.686625
4.45261355,RX,12* 12,
4.45755905,TX,00*,2.6996
4.65762585,RX,12* 12,
4.6636061,TX,00*,3.73435
4.86263815,RX,12* 12,
4.86755985,TX,00*,2.6758
5.067650425,RX,12* 12,
5.0735809,TX,00*,3.684575
5.272662725,RX,12* 12,
5.277599675,TX,00*,2.69105
5.477675025,RX,12* 12,
5.483594725,TX,00*,3.6738
5.582681325,RX,08* 08,
5.687687625,RX,12* 12,
5.694244425,TX,00*,4.3109
5.8926999,RX,12* 12,
5.8976326,TX,00*,2.6868
6.0977122,RX,12* 12,
6.10429725,TX,00*,4.33915
6.3027245,RX,12* 12,
6.3076464,TX,00*,2.676
6.5077368,RX,12* 12,
6.51425255,TX,00*,4.26985
6.612743075,RX,30* 30,
6.717749375,RX,12* 12,
6.724271675,TX,00*,4.2764
6.922761675,RX,12* 12,
6.92770535,TX,00*,2.697775
7.127773975,RX,12* 12,
7.134291975,TX,00*,4.2721
7.332786275,RX,12* 12,
7.33771265,TX,00*,2.680475
7.53779855,RX,12* 12,
7.5444228,TX,00*,4.37835
7.74281085,RX,12* 12,
7.747739475,TX,00*,2.682725
7.94782315,RX,12* 12,
7.954599125,TX,00*,4.530075
8.15283545,RX,08* 08,
8.17783695,RX,12* 12,
8.1843616,TX,00*,4.27875
8.362848025,RX,12* 12,
8.3677724,TX,00*,2.678475
8.567860325,RX,12* 12,
8.574411025,TX,00*,4.3048
8.772872625,RX,12* 12,
8.7777992,TX,00*,2.680675
8.9778849,RX,12* 12,
8.984632875,TX,00*,4.502075
9.1828972,RX,30* 30,
9.2078987,RX,12* 12,
9.21452535,TX,00*,4.38075
9.3929098,RX,12* 12,
9.397832125,TX,00*,2.676425
9.5979221,RX,12* 12,
9.60289755,TX,00*,2.72955
9.80303855,RX,12* 12,
9.80796295,TX,00*,2.6785
10.00805085,RX,12* 12,
10.01298285,TX,00*,2.6861
10.21306315,RX,12* 12,
10.21800925,TX,00*,2.7002
10.41807543,RX,12* 12,
10.42305518,TX,00*,2.73385
10.62308773,RX,12* 12,
10.62801008,TX,00*,2.67645
10.72809403,RX,08* 08,
10.83310033,RX,12* 12,
10.83801618,TX,00*,2.66995
11.0381126,RX,12* 12,
11.04303608,TX,00*,2.677575
11.2431249,RX,12* 12,
11.24804948,TX,00*,2.678675
11.4481372,RX,12* 12,
11.45306288,TX,00*,2.679775
11.65314948,RX,12* 12,
11.65808928,TX,00*,2.693875
11.75815578,RX,30* 30,
11.86316208,RX,12* 12,
11.8681019,TX,00*,2.693925
12.06817438,RX,12* 12,
12.07310233,TX,00*,2.68205
12.27318665,RX,12* 12,
12.2781027,TX,00*,2.670125
12.47819895,RX,12* 12,
12.4831291,TX,00*,2.68425
12.68321125,RX,12* 12,
12.688136,TX,00*,2.67885
12.88822353,RX,12* 12,
12.8931494,TX,00*,2.679975
13.09323583,RX,12* 12,
13.0981628,TX,00*,2.681075
13.29824813,RX,08* 08,
13.32324963,RX,12* 12,
13.32816578,TX,00*,2.67025
13.5082607,RX,12* 12,
13.51318233,TX,00*,2.675725
13.713273,RX,12* 12,
13.71821523,TX,00*,2.696325
13.9182853,RX,12* 12,
13.92320913,TX,00*,2.677925
14.12329758,RX,12* 12,
14.12822253,TX,00*,2.67905
14.32830988,RX,30* 30,
14.35331138,RX,12* 12,
14.3582125,TX,00*,2.655225
14.53832248,RX,12* 12,
14.54324853,TX,00*,2.68015
14.74333475,RX,12* 12,
14.74826193,TX,00*,2.681275
14.94834705,RX,12* 12,
14.95328833,TX,00*,2.695375
15.15335933,RX,12* 12,
15.15828873,TX,00*,2.683475
15.35837163,RX,12* 12,
15.36329563,TX,00*,2.6781
15.5634881,RX,12* 12,
15.56841305,TX,00*,2.67905
15.76850038,RX,12* 12,
15.77342643,TX,00*,2.68015
15.87350668,RX,08* 08,
15.97851298,RX,12* 12,
15.98343905,TX,00*,2.680175
16.18352525,RX,12* 12,
16.18844593,TX,00*,2.674775
16.38853755,RX,12* 12,
16.39345933,TX,00*,2.675875
16.59354985,RX,12* 12,
16.59849223,TX,00*,2.696475
16.79856213,RX,12* 12,
16.80348613,TX,00*,2.6781
16.90356843,RX,30* 30,
17.00857473,RX,12* 12,
17.01350523,TX,00*,2.6846
17.213587,RX,12* 12,
17.21862915,TX,00*,2.79625
17.4185993,RX,12* 12,
17.42353203,TX,00*,2.686825
17.62361158,RX,12* 12,
17.62853243,TX,00*,2.67495
17.82862388,RX,12* 12,
17.8335393,TX,00*,2.669525
18.03363615,RX,12* 12,
18.03856573,TX,00*,2.68365
18.23864845,RX,12* 12,
18.2435726,TX,00*,2.67825
18.44366073,RX,08* 08,
18.46866223,RX,12* 12,
18.47357558,TX,00*,2.667425
18.65367333,RX,12* 12,
18.6585986,TX,00*,2.679375
18.85868563,RX,12* 12,
18.863612,TX,00*,2.680475
19.1637039,RX,13* 04 17,
19.1697799,TX,00*,2.684175
19.2687102,RX,12* 12,
19.27363228,TX,00*,2.676175
19.37371648,RX,12* 12,
19.37863533,TX,00*,2.67295
19.47872278,RX,30* 30,
19.50372428,RX,12* 12,
19.50864098,TX,00*,2.6708
19.58872938,RX,12* 12,
19.59372515,TX,00*,2.749875
19.69373565,RX,12* 12,
19.6986697,TX,00*,2.688125
19.79874195,RX,12* 12,
19.80365975,TX,00*,2.6719
19.90374825,RX,12* 12,
19.9086628,TX,00*,2.66865
20.00875455,RX,12* 12,
20.01368538,TX,00*,2.684925
20.11376083,RX,12* 12,
20.1186819,TX,00*,2.67515
20.21876713,RX,12* 12,
20.22369148,TX,00*,2.67845
20.32377343,RX,12* 12,
20.32869453,TX,00*,2.6752
20.42877973,RX,12* 12,
20.43370408,TX,00*,2.67845
20.53378603,RX,12* 12,
20.53870713,TX,00*,2.6752
20.6387923,RX,12* 12,
20.64371668,TX,00*,2.678475
20.7437986,RX,12* 12,
20.74871973,TX,00*,2.675225
20.8488049,RX,12* 12,
20.8537293,TX,00*,2.6785
20.95391535,RX,08* 08,
20.97881268,RX,12* 12,
20.98371543,TX,00*,2.656825
21.06381778,RX,12* 12,
21.0687411,TX,00*,2.677425
21.16882408,RX,12* 12,
21.17375068,TX,00*,2.6807
21.27383038,RX,12* 12,
21.27876673,TX,00*,2.69045
21.37894083,RX,12* 12,
21.3838803,TX,00*,2.693575
21.48394713,RX,12* 12,
21.48888335,TX,00*,2.690325
21.58895343,RX,12* 12,
21.5938799,TX,00*,2.680575
21.69395973,RX,12* 12,
21.69888945,TX,00*,2.683825
21.798966,RX,12* 12,
21.8039575,TX,00*,2.7456
