Time,Label,Data,ReplyTime(ms)
0.190661825,RX,12* 12,
0.195584800,TX,00*,2.677075
0.395674150,RX,12* 12,
0.400598225,TX,00*,2.678200
0.600686425,RX,12* 12,
0.605618175,TX,00*,2.685850
0.705692700,RX,30* 30,
0.810699000,RX,12* 12,
0.815656825,TX,00*,2.711925
1.015711300,RX,12* 12,
1.020637775,TX,00*,2.680575
1.220723575,RX,12* 12,
1.225644700,TX,00*,2.675200
1.425735875,RX,12* 12,
1.430658150,TX,00*,2.676375
1.630748175,RX,12* 12,
1.635697575,TX,00*,2.703500
1.835760450,RX,12* 12,
1.840730525,TX,00*,2.724175
2.040772775,RX,12* 12,
2.045724475,TX,00*,2.705825
2.245785050,RX,08* 08,
2.270786550,RX,12* 12,
2.275721000,TX,00*,2.688550
2.455797625,RX,12* 12,
2.460724550,TX,00*,2.681025
2.660809925,RX,12* 12,
2.665764000,TX,00*,2.708175
2.865822200,RX,12* 12,
2.870757950,TX,00*,2.689825
3.070834500,RX,12* 12,
3.075771375,TX,03 ff ff ff ff ff ff ff ff 00 00 00 44 45 19 78 00 15*,2.690975
3.096461025,RX,00,
3.175840800,RX,12* 12,
3.180761450,TX,00*,2.674750
3.280847100,RX,30* 30,
3.385853375,RX,12* 12,
3.390780625,TX,00*,2.681325
3.590865675,RX,12* 12,
3.595787550,TX,00*,2.675975
3.795877975,RX,12* 12,
3.800807500,TX,00*,2.683625
4.000890250,RX,12* 12,
4.005820925,TX,00*,2.684775
4.205902550,RX,12* 12,
4.210827875,TX,00*,2.679425
4.410914825,RX,12* 12,
4.415841325,TX,00*,2.680575
4.615927125,RX,12* 12,
4.620841750,TX,00*,2.668725
4.821043600,RX,08* 08,
4.845940925,RX,12* 12,
4.850844775,TX,00*,2.657950
5.031056175,RX,12* 12,
5.035984875,TX,00*,2.682800
5.236068475,RX,12* 12,
5.241102325,TX,00*,2.787950
5.441080750,RX,12* 12,
5.446005250,TX,00*,2.678600
5.646093050,RX,12* 12,
5.651012175,TX,00*,2.673225
5.851105350,RX,30* 30,
5.876106825,RX,12* 12,
5.881015200,TX,00*,2.662450
6.061117925,RX,12* 12,
6.066044775,TX,00*,2.680950
6.266130225,RX,12* 12,
6.271051725,TX,00*,2.675600
6.471142500,RX,12* 12,
6.476078150,TX,00*,2.689750
6.676154800,RX,12* 12,
6.681078600,TX,00*,2.677900
6.881167100,RX,12* 12,
6.886417075,TX,00*,3.004075
7.086179375,RX,12* 12,
7.091111975,TX,00*,2.686700
7.291191675,RX,12* 12,
7.296118900,TX,00*,2.681325
7.396197975,RX,08* 08,
7.501204250,RX,12* 12,
7.506125075,TX,00*,2.674925
7.706216550,RX,12* 12,
7.711138500,TX,00*,2.676050
7.911228825,RX,12* 12,
7.916151950,TX,00*,2.677200
8.116241125,RX,12* 12,
8.121171875,TX,00*,2.684850
8.321253425,RX,12* 12,
8.326198325,TX,00*,2.699000
8.426259700,RX,30* 30,
8.531266000,RX,12* 12,
8.536210975,TX,00*,2.699075
8.736278300,RX,12* 12,
8.741211425,TX,00*,2.687225
8.941290575,RX,12* 12,
8.946263850,TX,00*,2.727375
9.146302875,RX,12* 12,
9.151225275,TX,00*,2.676500
9.351315150,RX,12* 12,
9.356238725,TX,00*,2.677675
9.556327450,RX,12* 12,
9.561252150,TX,00*,2.678800
9.761339750,RX,12* 12,
9.766278600,TX,00*,2.692950
9.966352025,RX,08* 08,
9.991353525,RX,12* 12,
9.996294625,TX,00*,2.695200
10.176364625,RX,12* 12,
10.181291700,TX,00*,2.681175
10.381376900,RX,12* 12,
10.386305125,TX,00*,2.682325
10.586493350,RX,12* 12,
10.591416075,TX,00*,2.676800
10.791505650,RX,12* 12,
10.796429525,TX,00*,2.677950
10.996517925,RX,30* 30,
11.021519425,RX,12* 12,
11.026426050,TX,00*,2.660725
11.206530525,RX,12* 12,
11.211449100,TX,00*,2.672675
11.411542800,RX,12* 12,
11.416475550,TX,00*,2.686850
11.616555100,RX,12* 12,
11.621482475,TX,00*,2.681475
11.821567375,RX,12* 12,
11.826482900,TX,00*,2.669625
12.026579675,RX,12* 12,
12.031509350,TX,00*,2.683775
