Time,Label,Data,ReplyTime(ms)
2.4894455,TX,00 00 42 20 80 20 00 01 20 42 08 f0*,2488.3455
2.8177467,TX,00 40 28 01 00 01* a9*,314.4771
5.9534595,RX,08* 08,
6.3584862,RX,10* 10,
6.8635195,RX,30* 30,
8.4686253,RX,08* 08,
9.373685,RX,30* 30,
9.8787183,RX,10* 10,
10.9838953,RX,08* 08,
11.888955,RX,30* 30,
13.3940542,RX,10* 10,
13.4990611,RX,08* 08,
14.4041207,RX,30* 30,
16.0092264,RX,08* 08,
16.9143902,RX,30* 30,
16.9392877,RX,10* 10,
18.5244962,RX,08* 08,
19.4295558,RX,30* 30,
20.5346285,RX,10* 10,
21.0396617,RX,08* 08,
21.9447212,RX,30* 30,
23.549931,RX,08* 08,
24.0549642,RX,10* 10,
24.4599908,RX,30* 30,
26.0650964,RX,08* 08,
26.9701559,RX,30* 30,
27.5751957,RX,10* 10,
28.5803659,RX,08* 08,
29.4854255,RX,30* 30,
31.090531,RX,08* 08,
31.1155326,RX,10* 10,
32.0005908,RX,30* 30,
33.6056964,RX,08* 08,
34.5108601,RX,30* 30,
34.7158736,RX,10* 10,
36.120966,RX,08* 08,
37.0260255,RX,30* 30,
38.2311047,RX,10* 10,
38.6361313,RX,08* 08,
39.541295,RX,30* 30,
41.1464005,RX,08* 08,
41.7514403,RX,10* 10,
42.0564604,RX,30* 30,
43.6615659,RX,08* 08,
44.5666254,RX,30* 30,
45.2716717,RX,10* 10,
46.1768354,RX,08* 08,
47.0818948,RX,30* 30,
48.6870003,RX,08* 08,
48.7920072,RX,10* 10,
49.0963476,RX,fd*,
49.0963485,TX,ff*,-1.0991
49.5970601,RX,30* 30,
51.2022698,RX,08* 08,
52.1073293,RX,30* 30,
52.3123427,RX,10* 10,
53.7174351,RX,08* 08,
54.6224945,RX,30* 30,
55.8275737,RX,10* 10,
56.2326003,RX,08* 08,
57.137764,RX,30* 30,
58.7428694,RX,08* 08,
59.3479092,RX,10* 10,
59.3528308,TX,00*,2.6757
59.4529161,RX,12* 12,
59.4578532,TX,00 00*,2.6912
59.4602082,RX,0,
59.557923,RX,11* 00 03 00 00 00 14,
59.5688434,TX,00*,2.9449
59.6679302,RX,30* 30,
59.6929319,RX,12* 12,
59.6978412,TX,00*,2.6634
59.7779375,RX,12* 12,
59.7828343,TX,00*,2.6509
59.8829444,RX,12* 12,
59.8878502,TX,00*,2.6599
59.9879513,RX,12* 12,
59.9928466,TX,00*,2.6494
60.0929582,RX,12* 12,
60.0978886,TX,00*,2.6845
60.1979651,RX,12* 12,
60.202885,TX,00*,2.674
