Time [s],Value,Parity Error,Framing Error
0.179288100,0x100,,
0.384307700,0x100,,
0.589314300,0x100,,
0.819355900,0x100,,
1.004346200,0x100,,
1.209359200,0x100,,
1.414372400,0x100,,
1.619392000,0x100,,
1.849388100,0x100,,
2.034410900,0x100,,
2.239423900,0x100,,
2.444437000,0x100,,
2.649781700,0x100,,
2.854599700,0x100,,
3.059476300,0x100,,
3.264495900,0x100,,
3.474527700,0x100,,
15.139451800,0x100,,
15.244441600,0x000,,
15.245585700,0x100,,
15.355230300,0x100,,
15.459479100,0x001,,
15.460623200,0x003,,
15.461767300,0x019,,
15.462911500,0x078,,
15.464055600,0x001,,
15.465199800,0x002,,
15.466344000,0x05A,,
15.467488200,0x00D,,
15.468632300,0x1FF,,
15.581182900,0x100,,
15.745084200,0x100,,
15.789531000,0x009,,
15.790675000,0x043,,
15.791819200,0x043,,
15.792963300,0x056,,
15.794107500,0x030,,
15.795251700,0x031,,
15.796395800,0x037,,
15.797540000,0x037,,
15.798684200,0x038,,
15.799828300,0x035,,
15.800972500,0x035,,
15.802116600,0x030,,
15.803260800,0x000,,
15.804405000,0x000,,
15.805549100,0x000,,
15.806693300,0x000,,
15.807837400,0x049,,
15.808981600,0x04D,,
15.810125800,0x033,,
15.811269900,0x030,,
15.812414100,0x000,,
15.813558300,0x000,,
15.814702400,0x000,,
15.815846600,0x000,,
15.816990700,0x000,,
15.818134900,0x000,,
15.819279100,0x000,,
15.820423300,0x000,,
15.821567400,0x023,,
15.822711600,0x008,,
15.823855700,0x000,,
15.824999900,0x000,,
15.826144100,0x000,,
15.827288200,0x027,,
15.828432400,0x1D1,,
15.900248200,0x100,,
16.017128300,0x100,,
16.119517800,0x100,,
16.225671400,0x100,,
16.330245300,0x100,,
16.534517200,0x100,,
16.739575900,0x100,,
16.944563000,0x100,,
17.149569500,0x100,,
17.359627400,0x100,,
17.564913500,0x100,,
17.769705600,0x100,,
17.974647200,0x100,,
18.179647300,0x100,,
18.389666100,0x100,,
18.594705200,0x100,,
18.799692300,0x100,,
18.917758700,0x1FF,,
19.004705400,0x100,,
19.209725000,0x100,,
19.414738100,0x100,,
19.620167200,0x100,,
19.849857900,0x100,,
20.034880600,0x100,,
20.240082200,0x100,,
20.444939300,0x100,,
20.649919900,0x100,,
20.879916100,0x100,,
21.064971300,0x100,,
21.270017000,0x100,,
21.474971600,0x100,,
21.679984700,0x100,,
21.885010800,0x100,,
22.090030400,0x100,,
22.295017500,0x100,,
22.505029800,0x100,,
22.710081900,0x100,,
22.915082000,0x100,,
23.120543700,0x100,,
23.325101700,0x100,,
23.535120500,0x100,,
23.740146600,0x100,,
23.945166200,0x100,,
24.150179300,0x100,,
24.355147000,0x100,,
24.560186000,0x100,,
24.765186200,0x100,,
24.995208300,0x100,,
25.180198600,0x100,,
25.385328700,0x100,,
25.590393800,0x100,,
25.795374400,0x100,,
26.025357600,0x100,,
26.210393300,0x100,,
26.415425900,0x100,,
26.620413000,0x100,,
26.825738200,0x100,,
27.030439300,0x100,,
27.235458900,0x100,,
27.440472000,0x100,,
27.650477800,0x100,,
27.855588400,0x100,,
28.060530000,0x100,,
28.265497600,0x100,,
28.470543200,0x100,,
28.680555500,0x100,,
28.885965200,0x100,,
29.090588200,0x100,,
29.295588400,0x100,,
29.500601500,0x100,,
29.705608100,0x100,,
29.910640700,0x100,,
30.140656300,0x100,,
30.325646600,0x100,,
30.531277300,0x100,,
30.735685800,0x100,,
30.940705400,0x100,,
31.170708100,0x100,,
31.355834900,0x100,,
31.562349700,0x100,,
31.765854600,0x100,,
31.970874200,0x100,,
32.175880800,0x100,,
32.380913400,0x100,,
32.585913500,0x100,,
32.795925900,0x100,,
33.000952000,0x100,,
33.205991100,0x100,,
33.410965200,0x100,,
33.615991300,0x100,,
33.826770700,0x100,,
34.030990700,0x100,,
34.236036300,0x100,,
34.441003900,0x003,,
34.442147900,0x0FF,,
34.443292100,0x0FF,,
34.444436300,0x0FF,,
34.445580400,0x0FF,,
34.446724600,0x0FF,,
34.447868800,0x0FF,,
34.449012900,0x0FF,,
34.450157100,0x0FF,,
34.451301200,0x000,,
34.452445400,0x000,,
34.453589600,0x000,,
34.454733700,0x044,,
34.455877900,0x045,,
34.457022100,0x019,,
34.458166200,0x078,,
34.459310400,0x000,,
34.460454600,0x115,,
34.546039300,0x100,,
34.751065500,0x100,,
34.956078600,0x100,,
35.161078700,0x100,,
35.371091000,0x100,,
35.576123600,0x100,,
35.781123700,0x100,,
35.986136900,0x100,,
36.191150000,0x100,,
36.401175300,0x100,,
36.607345600,0x100,,
36.811234000,0x100,,
37.017397800,0x100,,
37.221344800,0x100,,
37.427482500,0x004,,
37.428626500,0x104,,
37.531347800,0x100,,
37.738064100,0x100,,
37.947978900,0x100,,
38.151373300,0x100,,
38.358252200,0x100,,
38.561464500,0x100,,
38.768044400,0x100,,
38.978017700,0x100,,
